experiment,metric,baseline_03_xla_tiled,pallas_03_5,delta_abs,delta_percent,note
context_l2048,xla_planned_hbm_aggregate_gib,56.48,57.3844,0.9044000000000025,1.6012747875354154,lower is better
context_l2048,mean_step_time_sec_excl_first,0.28372997575002046,0.3040568437500042,0.020326867999983733,7.164159495749814,lower is better
context_l4096,xla_planned_hbm_aggregate_gib,116.4,112.8912,-3.508800000000008,-3.0144329896907283,lower is better
context_l4096,mean_step_time_sec_excl_first,0.6335643974998675,0.6677968812499557,0.03423248375008825,5.403157735058086,lower is better
quality_l2048_500step,runtime_peak_gib_aggregate,17.923028469085693,18.527995586395264,0.6049671173095703,3.375362140126263,lower is better
quality_l2048_500step,mean_step_time_sec_excl_first,0.26491688210420805,0.28484194267735446,0.019925060573146414,7.521249840660841,lower is better
quality_l2048_500step,final_train_loss,0.5738729238510132,0.4490305781364441,-0.12484234571456909,-21.754353712457117,"lower is better, smoke only"
quality_l2048_500step,eval_loss,1.2327468395233154,1.2468454837799072,0.014098644256591797,1.1436771772250927,"lower is better, smoke only"
composition_l4096_cce,xla_planned_hbm_aggregate_gib,107.2,106.8241195678711,-0.3758804321289091,-0.3506347314635346,lower is better
composition_l4096_cce,mean_step_time_sec_excl_first,0.727080194842098,0.7751208290000022,0.04804063415790427,6.607336370692559,lower is better
