autopatch_effective,batch_size,cce_installed,chips,default_ce,failure_type,final_loss,first_step_time_sec,gemma3_activation_policy_installed,gemma3_splash_attention_installed,gemma3_tiled_mlp_installed,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model_id,model_size,oom_exceeded_gib,oom_limit_gib,oom_used_gib,requested_autopatch,run_dir,runtime_hbm_headroom_gb_aggregate,runtime_hbm_limit_gb_aggregate,runtime_peak_hbm_gb_aggregate,second_step_time_sec,status,steps_recorded,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip
False,1,False,4,True,,1.585516333580017,88.77675922599997,False,False,False,16,71.77151912395846,512,2,2.061228930950165,0.34832758599998215,4,1,google/gemma-3-12b-it,12b,,,,False,/tmp/gemma3-large-patch-sweep-corrected/12b/default_b1_l512,18.685923328,67.637338112,48.951414784,0.34832758599998215,ok,2,v5litepod-4,177.99336742741696,default,121.17055851599997,/tmp/gemma3-large-patch-sweep-corrected/12b/default_b1_l512/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.39
True,1,True,4,False,,1.5772923231124878,87.61790352600002,False,False,False,16,69.17556344888112,512,2,2.0551698803901672,0.36139929699993445,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/cce_b1_l512,18.6246144,67.637338112,49.012723712,0.36139929699993445,ok,2,v5litepod-4,171.5553973532252,cce,122.37216097700002,/tmp/gemma3-large-patch-sweep-corrected/12b/cce_b1_l512/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.23
True,1,False,4,False,,1.8835046291351318,56.57209265999995,False,False,True,16,87.82932466007794,512,2,2.1960591077804565,0.28464297200002875,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/tiled_mlp_b1_l512,19.98522368,67.637338112,47.652114432,0.28464297200002875,ok,2,v5litepod-4,217.8167251569933,tiled_mlp,93.8563751339999,/tmp/gemma3-large-patch-sweep-corrected/12b/tiled_mlp_b1_l512/xla/module_0634.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,11.78
True,1,False,4,False,,1.567293643951416,98.01404665899997,True,False,False,16,0.27662286519336665,512,2,2.0583813190460205,90.37575394400005,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/split_offload_b1_l512,18.332004352,67.637338112,49.30533376,90.37575394400005,ok,2,v5litepod-4,0.6860247056795493,split_offload,225.42097411500004,/tmp/gemma3-large-patch-sweep-corrected/12b/split_offload_b1_l512/xla/module_1013.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.04
True,1,False,4,False,,1.6387231349945068,87.16470756700005,False,True,False,16,68.52346415131738,512,2,2.1014190912246704,0.36483853100003216,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/splash_b1_l512,18.694694912,67.637338112,48.9426432,0.36483853100003216,ok,2,v5litepod-4,169.93819109526711,splash,128.6442674330001,/tmp/gemma3-large-patch-sweep-corrected/12b/splash_b1_l512/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.46
True,1,True,4,False,,1.6932767629623413,76.44017498500011,True,True,True,16,0.36608445714869026,512,2,2.110953390598297,68.29025245899993,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l512,19.796283392,67.637338112,47.84105472,68.29025245899993,ok,2,v5litepod-4,0.9078894537287518,stacked,179.23322084100005,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l512/xla/module_0979.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,11.74
,1,,4,,compile_oom,,,,,,16,,1024,2,,,4,1,google/gemma-3-12b-it,12b,1.67,15.75,17.42,False,/tmp/gemma3-large-patch-sweep-corrected/12b/default_b1_l1024,,,,,failed,,v5litepod-4,,default,,/tmp/gemma3-large-patch-sweep-corrected/12b/default_b1_l1024/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,17.42
,1,,4,,compile_oom,,,,,,16,,1024,2,,,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/cce_b1_l1024,,,,,failed,,v5litepod-4,,cce,,/tmp/gemma3-large-patch-sweep-corrected/12b/cce_b1_l1024/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.5
True,1,False,4,False,,1.8081921339035034,60.45841997100001,False,False,True,16,57.44083604226936,1024,2,2.160275876522064,0.4352304340000046,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/tiled_mlp_b1_l1024,19.943847936,67.637338112,47.693490176,0.4352304340000046,ok,2,v5litepod-4,142.453273384828,tiled_mlp,92.21617495199985,/tmp/gemma3-large-patch-sweep-corrected/12b/tiled_mlp_b1_l1024/xla/module_0634.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.13
True,1,False,4,False,,1.544836401939392,100.43549501500001,True,False,False,16,0.2644528151710486,1024,2,2.03352028131485,94.53482271999997,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/split_offload_b1_l1024,18.2876672,67.637338112,49.349670912,94.53482271999997,ok,2,v5litepod-4,0.6558429816242006,split_offload,230.93660397000008,/tmp/gemma3-large-patch-sweep-corrected/12b/split_offload_b1_l1024/xla/module_1024.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.58
,1,,4,,compile_oom,,,,,,16,,1024,2,,,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/splash_b1_l1024,,,,,failed,,v5litepod-4,,splash,,/tmp/gemma3-large-patch-sweep-corrected/12b/splash_b1_l1024/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.52
True,1,True,4,False,,1.7125322818756104,76.21218440899975,True,True,True,16,0.36359226727724747,1024,2,2.1378332376480103,68.75833797900032,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l1024,19.776815104,67.637338112,47.860523008,68.75833797900032,ok,2,v5litepod-4,0.9017088228475738,stacked,177.36714361099985,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l1024/xla/module_0978.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,11.74
,1,,4,,compile_oom,,,,,,16,,2048,2,,,4,1,google/gemma-3-12b-it,12b,10.76,15.75,26.51,False,/tmp/gemma3-large-patch-sweep-corrected/12b/default_b1_l2048,,,,,failed,,v5litepod-4,,default,,/tmp/gemma3-large-patch-sweep-corrected/12b/default_b1_l2048/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,26.51
,1,,4,,compile_oom,,,,,,16,,2048,2,,,4,1,google/gemma-3-12b-it,12b,8.96,15.75,24.71,True,/tmp/gemma3-large-patch-sweep-corrected/12b/cce_b1_l2048,,,,,failed,,v5litepod-4,,cce,,/tmp/gemma3-large-patch-sweep-corrected/12b/cce_b1_l2048/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,24.71
,1,,4,,compile_oom,,,,,,16,,2048,2,,,4,1,google/gemma-3-12b-it,12b,4.68,15.75,20.42,True,/tmp/gemma3-large-patch-sweep-corrected/12b/tiled_mlp_b1_l2048,,,,,failed,,v5litepod-4,,tiled_mlp,,/tmp/gemma3-large-patch-sweep-corrected/12b/tiled_mlp_b1_l2048/xla/module_0634.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,20.42
True,1,False,4,False,,1.6184117794036865,108.15517617400019,True,False,False,16,0.24785933480226152,2048,2,2.0707606077194214,100.86366131799969,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/split_offload_b1_l2048,18.253981696,67.637338112,49.383356416,100.86366131799969,ok,2,v5litepod-4,0.6146911503096086,split_offload,247.89425980199985,/tmp/gemma3-large-patch-sweep-corrected/12b/split_offload_b1_l2048/xla/module_1031.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.67
,1,,4,,compile_oom,,,,,,16,,2048,2,,,4,1,google/gemma-3-12b-it,12b,6.13,15.75,21.88,True,/tmp/gemma3-large-patch-sweep-corrected/12b/splash_b1_l2048,,,,,failed,,v5litepod-4,,splash,,/tmp/gemma3-large-patch-sweep-corrected/12b/splash_b1_l2048/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.88
True,1,True,4,False,,1.839585542678833,80.107969185,True,True,True,16,0.34743140229258607,2048,2,2.173102855682373,71.95665053599987,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l2048,19.710353408,67.637338112,47.926984704,71.95665053599987,ok,2,v5litepod-4,0.8616298776856135,stacked,186.70497460800016,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l2048/xla/module_0997.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,11.77
True,1,True,4,False,,1.7074103355407715,98.58096055399983,True,True,True,16,0.2815063366034518,4096,2,2.1169501543045044,88.80794763499989,4,1,google/gemma-3-12b-it,12b,,,,True,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l4096,19.558291456,67.637338112,48.079046656,88.80794763499989,ok,2,v5litepod-4,0.6981357147765604,stacked,223.26168510800017,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l4096/xla/module_1076.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.42
,1,,4,,compile_oom,,,,,,16,,8192,2,,,4,1,google/gemma-3-12b-it,12b,2.06,15.75,17.80,True,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l8192,,,,,failed,,v5litepod-4,,stacked,,/tmp/gemma3-large-patch-sweep-corrected/12b/stacked_b1_l8192/xla/module_0767.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,17.8
