model_key,variant_name,status,model_id,batch_size,max_length,max_steps_requested,steps_recorded,learning_rate,lora_rank,lora_alpha,lora_fa_installed,final_loss,mean_loss,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,loss_tokens_per_sec_excl_first,wall_time_sec,lora_a_tensors,lora_b_tensors,lora_a_params,lora_b_params,lora_a_bytes,lora_b_bytes,lorafa_a_value_delta_max,lorafa_b_value_delta_max,lorafa_a_changed_tensors,lorafa_b_changed_tensors,bleu,chrf,quality_num_examples
gemma3-270m,standard_lora_r16,ok,google/gemma-3-270m-it,16,512,50,50,0.0002,16,32.0,False,2.2958903312683105,2.2555282402038572,0.10675810434694614,5003.8738033093805,1558.9314970197124,73.63019613300003,108,108,1622016,1990656,3244032,3981312,0.010498046875,0.00634765625,108,108,14.58768343369078,44.15798260759992,16
gemma3-270m,standard_lora_r32,ok,google/gemma-3-270m-it,16,512,50,50,0.0002,32,32.0,False,2.27327036857605,2.245220785140991,0.1069827752040807,4993.365339547451,1555.6576384477944,74.32653509500005,108,108,3244032,3981312,6488064,7962624,0.011474609375,0.00628662109375,108,108,11.246536245234404,42.378708402971334,16
gemma3-270m,standard_lora_r64,ok,google/gemma-3-270m-it,16,512,50,50,0.0002,64,32.0,False,2.304194688796997,2.240920398235321,0.10742476679593911,4972.820491641478,1549.256995313885,76.50897990499993,108,108,6488064,7962624,12976128,15925248,0.01171875,0.00665283203125,108,108,14.787190629006913,44.93399558256135,16
gemma3-270m,freeze_a_r16,ok,google/gemma-3-270m-it,16,512,50,50,0.0002,16,32.0,True,2.338435411453247,2.2876978373527526,0.1033869958775438,5167.033601260534,1609.7631043046933,69.17840527899989,108,108,1622016,1990656,3244032,3981312,0.0,0.00616455078125,0,108,14.901046132878829,43.64693783761072,16
gemma3-270m,lorafa_r16,ok,google/gemma-3-270m-it,16,512,50,50,0.0002,16,32.0,True,2.315126419067383,2.2839990615844727,0.11138807093875956,4795.8823339920755,1494.1328099673508,96.31334515999993,108,108,1622016,1990656,3244032,3981312,0.0,0.006927490234375,0,108,16.613479893765316,44.076423163269496,16
gemma3-270m,lorafa_r32,ok,google/gemma-3-270m-it,16,512,50,50,0.0002,32,32.0,True,2.3355398178100586,2.273896107673645,0.1168876969795886,4570.233612575478,1423.833095604868,102.11817790300006,108,108,3244032,3981312,6488064,7962624,0.0,0.007110595703125,0,108,8.63158103065606,40.82813582243102,16
gemma3-270m,lorafa_r64,ok,google/gemma-3-270m-it,16,512,50,50,0.0002,64,32.0,True,2.267361640930176,2.2724711012840273,0.1352926358571615,3948.5081966815405,1230.1376965135223,98.50169100200014,108,108,6488064,7962624,12976128,15925248,0.0,0.007080078125,0,108,17.638207823575726,47.28724052052018,16
