activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,ok,model_order,variant_label,mesh
,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,1024,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,4.37,15.75,20.12,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,20.12,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,1024,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,,,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.92,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,2048,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,25.85,15.75,41.59,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,47.43,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_default_r16_b2_l2048_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,2048,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,29.33,15.75,45.08,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l2048_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,50.92,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l4096_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,4096,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,115.84,15.75,131.58,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l4096_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l4096_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,137.42,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,2,focused_frontier_fsdp8_tp1_default_r16_b2_l4096_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,4096,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,122.27,15.75,138.02,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l4096_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l4096_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,143.85,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,4,focused_frontier_fsdp8_tp1_cce_r16_b4_l512_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,512,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,1.56,15.75,17.31,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b4_l512_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b4_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,17.31,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,4,focused_frontier_fsdp8_tp1_default_r16_b4_l512_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,512,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,3.26,15.75,19.01,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b4_l512_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b4_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,19.01,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
,4,focused_frontier_fsdp8_tp1_cce_r16_b4_l1024_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,1024,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,13.95,15.75,29.69,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b4_l1024_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b4_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,35.53,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,CCE,fsdp8/tp1
,4,focused_frontier_fsdp8_tp1_default_r16_b4_l1024_tc128_vc8192,,8,synthetic,,compile_oom,,,16,,1024,2,,,8,1,Gemma3 12B,google/gemma-3-12b-it,17.48,15.75,33.22,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b4_l1024_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b4_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,39.06,data/gemma3_12b_27b_cce_focused/raw/gemma-cce-12b-focused-large-frontier-fsdp/gemma-cce-12b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,False,0,Default CE,fsdp8/tp1
