activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,failure_type,oom_exceeded_gib,oom_limit_gib,oom_used_gib,ok,mesh,variant_label,model_order
False,4,focused_chunk_fsdp8_tp1_cce_r16_b4_l1024_tc512_vc32768,True,8,synthetic,False,0.8930462002754211,63.468402615999366,16,350.3485996352684,1024,4,2.332240268588066,0.5879857953320121,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_chunk_fsdp8_tp1/focused_chunk_fsdp8_tp1_cce_r16_b4_l1024_tc512_vc32768,117.269139968,135.27465984,18.005519872,0.6918788209986815,False,ok,4.0,focused_chunk_fsdp8_tp1,False,512,v5litepod-8,748.3173972792141,cce,32768,92.37601576499948,/tmp/gemma-cce-4b-focused/focused_chunk_fsdp8_tp1/focused_chunk_fsdp8_tp1_cce_r16_b4_l1024_tc512_vc32768/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.93,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_chunk_fsdp8_tp1/focused_chunk_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,CCE,0
False,4,focused_chunk_fsdp8_tp1_cce_r16_b4_l1024_tc512_vc65536,True,8,synthetic,False,0.8963790535926819,63.940895645002456,16,346.1701253929106,1024,4,2.3357689827680588,0.5950831249986853,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_chunk_fsdp8_tp1/focused_chunk_fsdp8_tp1_cce_r16_b4_l1024_tc512_vc65536,117.421523456,135.27465984,17.853136384,0.6947890509982244,False,ok,4.0,focused_chunk_fsdp8_tp1,False,512,v5litepod-8,739.3925008392266,cce,65536,96.44560105900018,/tmp/gemma-cce-4b-focused/focused_chunk_fsdp8_tp1/focused_chunk_fsdp8_tp1_cce_r16_b4_l1024_tc512_vc65536/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.93,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_chunk_fsdp8_tp1/focused_chunk_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,CCE,0
False,1,focused_frontier_fsdp8_tp1_cce_r16_b1_l512_tc128_vc8192,True,8,synthetic,False,1.915355920791626,62.264906565000274,16,236.6575336348545,512,2,3.373508334159851,0.215501273999962,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l512_tc128_vc8192,115.226509312,135.27465984,20.048150528,0.215501273999962,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,505.79747384704194,cce,8192,88.59324709700013,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.55,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,CCE,0
False,1,focused_frontier_fsdp8_tp1_default_r16_b1_l512_tc128_vc8192,False,8,synthetic,True,1.927961826324463,65.13232920700011,16,239.0578297808463,512,2,3.385162830352783,0.2133375010002964,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l512_tc128_vc8192,115.225571328,135.27465984,20.049088512,0.2133375010002964,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,510.92751855122054,default,8192,109.34644678999985,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.8,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,Default CE,0
False,1,focused_frontier_fsdp8_tp1_cce_r16_b1_l1024_tc128_vc8192,True,8,synthetic,False,1.919048547744751,64.65810655799987,16,181.75670852416556,1024,2,3.4884060621261597,0.2805948700001863,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l1024_tc128_vc8192,114.800365568,135.27465984,20.474294272,0.2805948700001863,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,388.4604162575303,cce,8192,99.034089665,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.98,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,CCE,0
False,1,focused_frontier_fsdp8_tp1_default_r16_b1_l1024_tc128_vc8192,False,8,synthetic,True,1.9143354892730713,71.0129546850003,16,200.4161566828647,1024,2,3.476364493370056,0.2544705020000037,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l1024_tc128_vc8192,114.800349184,135.27465984,20.474310656,0.2544705020000037,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,428.3404133025933,default,8192,95.7975867580003,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.48,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,Default CE,0
False,1,focused_frontier_fsdp8_tp1_cce_r16_b1_l2048_tc128_vc8192,True,8,synthetic,False,1.9361186027526855,69.18207383599974,16,117.83084204775304,2048,2,3.534666061401367,0.4328238610000881,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l2048_tc128_vc8192,114.022117376,135.27465984,21.252542464,0.4328238610000881,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,251.8345447687271,cce,8192,108.41594609100002,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,9.37,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,CCE,0
False,1,focused_frontier_fsdp8_tp1_default_r16_b1_l2048_tc128_vc8192,False,8,synthetic,True,1.9481710195541384,75.78037934000031,16,136.4999523694783,2048,2,3.530199944972992,0.3736265040001854,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l2048_tc128_vc8192,114.019172352,135.27465984,21.255487488,0.3736265040001854,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,291.7351923190811,default,8192,101.95691395999984,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,10.36,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,Default CE,0
,1,focused_frontier_fsdp8_tp1_cce_r16_b1_l4096_tc128_vc8192,,8,synthetic,,,,16,,4096,2,,,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l4096_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b1_l4096_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,18.57,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,compile_oom,,,,False,fsdp8/tp1,CCE,0
,1,focused_frontier_fsdp8_tp1_default_r16_b1_l4096_tc128_vc8192,,8,synthetic,,,,16,,4096,2,,,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l4096_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,default,8192,,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b1_l4096_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,22.16,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,compile_oom,4.45,15.75,20.19,False,fsdp8/tp1,Default CE,0
False,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l512_tc128_vc8192,True,8,synthetic,False,1.9018794298171997,60.72444630800055,16,370.1988892435753,512,2,3.4073157906532288,0.2755275690005874,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l512_tc128_vc8192,114.770399232,135.27465984,20.504260608,0.2755275690005874,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,791.2093907362688,cce,8192,86.34960899399994,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.97,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,CCE,0
False,2,focused_frontier_fsdp8_tp1_default_r16_b2_l512_tc128_vc8192,False,8,synthetic,True,1.886666774749756,58.95093808699994,16,413.1682472344627,512,2,3.3945868015289307,0.2468727949999447,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l512_tc128_vc8192,114.773180416,135.27465984,20.501479424,0.2468727949999447,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,883.0458617364008,default,8192,87.40501303600058,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l512_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.49,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,Default CE,0
False,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192,True,8,synthetic,False,1.8543601036071775,62.28368502000012,16,238.51722595592437,1024,2,3.5139286518096924,0.4276420690002851,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192,114.037874688,135.27465984,21.236785152,0.4276420690002851,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,509.77211037638733,cce,8192,90.25862162900012,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,8.51,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,CCE,0
False,2,focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192,False,8,synthetic,True,1.8612605333328247,61.09032617400044,16,287.5500503420402,1024,2,3.5239704251289368,0.3547208559994033,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192,114.043645952,135.27465984,21.231013888,0.3547208559994033,False,ok,2.0,focused_frontier_fsdp8_tp1,False,128,v5litepod-8,614.5677546525957,default,8192,86.7564840290006,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_default_r16_b2_l1024_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,9.92,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,,,,,True,fsdp8/tp1,Default CE,0
,2,focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192,,8,synthetic,,,,16,,2048,2,,,8,1,Gemma3 4B,google/gemma-3-4b-it,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192,,,,,,failed,,focused_frontier_fsdp8_tp1,,128,v5litepod-8,,cce,8192,,/tmp/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_cce_r16_b2_l2048_tc128_vc8192/xla/module_0676.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,17.97,data/gemma_4b_e4b_cce_transfer/raw/gemma-cce-4b-focused-eightchip-chunk-fsdp8/gemma-cce-4b-focused/focused_frontier_fsdp8_tp1/focused_frontier_fsdp8_tp1_results.csv,compile_oom,,,,False,fsdp8/tp1,CCE,0
