label,sample_count,bleu,chrf
01-CCE Default,16,22.294260710991292,50.75219566548833
01-CCE CCE,16,22.288800751834057,50.270075328310824
Unpacked 5K,16,15.264946571394773,38.01407905115384
Packed 1K,16,10.816570641775144,39.27294375846071
