model_key,variant_name,status,model_id,batch_size,max_length,max_steps_requested,steps_recorded,learning_rate,lora_rank,lora_alpha,lora_fa_installed,final_loss,mean_loss,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,loss_tokens_per_sec_excl_first,wall_time_sec,lora_a_tensors,lora_b_tensors,lora_a_params,lora_b_params,lora_a_bytes,lora_b_bytes,lorafa_a_value_delta_max,lorafa_b_value_delta_max,lorafa_a_changed_tensors,lorafa_b_changed_tensors,train_peak_aggregate_gib,train_in_use_aggregate_gib,train_limit_aggregate_gib,train_peak_max_chip_gib,train_limit_min_chip_gib,device_count,bleu,chrf,quality_num_examples
gemma3-12b,standard_lora_r16,ok,google/gemma-3-12b-it,1,512,2,2,0.0002,16,32.0,False,1.50927734375,1.9926694631576538,0.32140228600019327,192.9046640320496,77.78413872260064,156.78915042500012,288,288,26738688,35782656,53477376,71565312,0.000244140625,0.000400543212890625,288,288,47.17686462402344,45.2418212890625,125.98434448242188,5.89710807800293,15.748043060302734,8,,,
gemma3-12b,lorafa_r16,ok,google/gemma-3-12b-it,1,512,2,2,0.0002,16,32.0,True,1.4836034774780273,1.9798325300216675,0.26081635399987135,237.71515493246477,95.85288505341322,260.1674626169997,288,288,26738688,35782656,53477376,71565312,0.0,0.0004024505615234375,0,288,46.947532653808594,44.95532989501953,125.98434448242188,5.868441581726074,15.748043060302734,8,,,
gemma3-27b,standard_lora_r16,ok,google/gemma-3-27b-it,1,512,2,2,0.0002,16,32.0,False,0.9018334746360779,1.6664001643657684,0.4749602460005917,130.53724079451223,52.635984191335574,199.02788159800002,372,372,46727168,61456384,93454336,122912768,0.000244140625,0.000400543212890625,372,372,106.24278259277344,103.43648529052734,125.98434448242188,13.28034782409668,15.748043060302734,8,,,
gemma3-27b,lorafa_r16,ok,google/gemma-3-27b-it,1,512,2,2,0.0002,16,32.0,True,0.8648412823677063,1.6479040682315826,1.0034714009998424,61.78551769210783,24.913515198430577,318.8962010639998,372,372,46727168,61456384,93454336,122912768,0.0,0.0004024505615234375,0,372,105.64522933959961,102.86977767944336,125.98434448242188,13.205653667449951,15.748043060302734,8,,,
