variant,step,loss,step_time_sec,grad_norm,valid_tokens,loss_tokens,capacity_tokens,valid_ratio,loss_ratio,cumulative_valid_tokens,cumulative_loss_tokens,cumulative_step_time_sec
unpacked,1,4.436088562011719,51.65369025600012,11.3125,248,66,2048,0.12109375,0.0322265625,248,66,51.65369025600012
unpacked,2,4.090878486633301,0.5044467340012488,13.125,180,22,2048,0.087890625,0.0107421875,428,88,52.15813699000137
