suite,case,variant,batch_size,max_length,lora_rank,token_chunk,vocab_chunk,failure_type,oom_used_gib,oom_limit_gib,oom_exceeded_gib,xla_train_step_gib_per_chip,xla_report,source_csv
pressure_points,pressure_points_cce_r16_b16_l2048_tc128_vc8192,cce,16,2048,16,128,8192,compile_oom,,,,16.42,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b16_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_cce_r16_b16_l4096_tc128_vc8192,cce,16,4096,16,128,8192,compile_oom,32.84,15.75,17.09,33.87,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b16_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_default_r16_b32_l512_tc128_vc8192,default,32,512,16,128,8192,compile_oom,20.3,15.75,4.55,21.32,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b32_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_default_r16_b32_l1024_tc128_vc8192,default,32,1024,16,128,8192,compile_oom,44.42,15.75,28.67,45.45,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b32_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_default_r16_b32_l2048_tc128_vc8192,default,32,2048,16,128,8192,resource_exhausted,,,,89.54,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b32_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_default_r16_b32_l4096_tc128_vc8192,default,32,4096,16,128,8192,resource_exhausted,,,,180.68,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b32_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_cce_r16_b32_l2048_tc128_vc8192,cce,32,2048,16,128,8192,compile_oom,27.86,15.75,12.11,28.88,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b32_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_cce_r16_b32_l4096_tc128_vc8192,cce,32,4096,16,128,8192,compile_oom,61.58,15.75,45.83,62.61,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b32_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_default_r16_b64_l512_tc128_vc8192,default,64,512,16,128,8192,compile_oom,56.39,15.75,40.64,57.41,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b64_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_default_r16_b64_l1024_tc128_vc8192,default,64,1024,16,128,8192,resource_exhausted,,,,88.02,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b64_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_default_r16_b64_l2048_tc128_vc8192,default,64,2048,16,128,8192,resource_exhausted,,,,177.59,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b64_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_default_r16_b64_l4096_tc128_vc8192,default,64,4096,16,128,8192,resource_exhausted,,,,342.22,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b64_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_cce_r16_b64_l1024_tc128_vc8192,cce,64,1024,16,128,8192,compile_oom,24.14,15.75,8.39,25.16,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b64_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_cce_r16_b64_l2048_tc128_vc8192,cce,64,2048,16,128,8192,compile_oom,52.84,15.75,37.09,53.87,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b64_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
pressure_points,pressure_points_cce_r16_b64_l4096_tc128_vc8192,cce,64,4096,16,128,8192,compile_oom,107.72,15.75,91.97,108.75,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b64_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/chunk/gemma3-270m-cce-rerun/pressure_points/pressure_points_results.csv
frontier_high,frontier_high_default_r16_b16_l1024_tc128_vc8192,default,16,1024,16,128,8192,compile_oom,20.33,15.75,4.58,21.36,/tmp/gemma3-270m-cce-rerun/frontier_high/frontier_high_default_r16_b16_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/frontier-high/gemma3-270m-cce-rerun/frontier_high/frontier_high_results.csv
frontier_high,frontier_high_default_r16_b16_l2048_tc128_vc8192,default,16,2048,16,128,8192,compile_oom,47.18,15.75,31.43,48.2,/tmp/gemma3-270m-cce-rerun/frontier_high/frontier_high_default_r16_b16_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/frontier-high/gemma3-270m-cce-rerun/frontier_high/frontier_high_results.csv
frontier_high,frontier_high_default_r16_b16_l4096_tc128_vc8192,default,16,4096,16,128,8192,resource_exhausted,,,,93.66,/tmp/gemma3-270m-cce-rerun/frontier_high/frontier_high_default_r16_b16_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/frontier-high/gemma3-270m-cce-rerun/frontier_high/frontier_high_results.csv
frontier_high,frontier_high_default_r16_b16_l8192_tc128_vc8192,default,16,8192,16,128,8192,resource_exhausted,,,,161.69,/tmp/gemma3-270m-cce-rerun/frontier_high/frontier_high_default_r16_b16_l8192_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/frontier-high/gemma3-270m-cce-rerun/frontier_high/frontier_high_results.csv
frontier_high,frontier_high_default_r16_b16_l16384_tc128_vc8192,default,16,16384,16,128,8192,resource_exhausted,,,,623.73,/tmp/gemma3-270m-cce-rerun/frontier_high/frontier_high_default_r16_b16_l16384_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/frontier-high/gemma3-270m-cce-rerun/frontier_high/frontier_high_results.csv
frontier_high,frontier_high_default_r16_b16_l32768_tc128_vc8192,default,16,32768,16,128,8192,resource_exhausted,,,,991.44,/tmp/gemma3-270m-cce-rerun/frontier_high/frontier_high_default_r16_b16_l32768_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,data/gemma3_270m_full_cce/raw/frontier-high/gemma3-270m-cce-rerun/frontier_high/frontier_high_results.csv
