suite,case,variant,batch_size,max_length,lora_rank,token_chunk,vocab_chunk,status,failure_type,tpu,chips,xla_train_step_gib_per_chip,runtime_peak_hbm_gb,runtime_hbm_limit_gb,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,wall_time_sec,xla_report
chunk_tuning,chunk_tuning_cce_r16_b16_l512_tc512_vc32768,cce,16,512,16,512,32768,ok,,v5litepod-1,1,4.97,1.420074496,16.909336064,0.1632558984999832,10878.6268448376,44.17014001899997,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l512_tc512_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc64_vc4096,cce,16,2048,16,64,4096,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc64_vc8192,cce,16,2048,16,64,8192,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc64_vc16384,cce,16,2048,16,64,16384,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc64_vc32768,cce,16,2048,16,64,32768,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc64_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc128_vc4096,cce,16,2048,16,128,4096,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc128_vc8192,cce,16,2048,16,128,8192,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc128_vc16384,cce,16,2048,16,128,16384,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc128_vc32768,cce,16,2048,16,128,32768,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc128_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc256_vc4096,cce,16,2048,16,256,4096,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc256_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc256_vc8192,cce,16,2048,16,256,8192,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc256_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc256_vc16384,cce,16,2048,16,256,16384,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc256_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc256_vc32768,cce,16,2048,16,256,32768,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc256_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc512_vc4096,cce,16,2048,16,512,4096,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc512_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
