suite,variant,batch_size,max_length,max_steps,eval_batches,eval_loss,bleu,chrf,final_loss,wall_time_sec,xla_train_step_gib_per_chip,mean_step_time_sec_excl_first
quality_cce_capacity_b64_l512,cce,64,512,1250,4.0,2.948919773101806,14.685951391578598,39.32324516709078,0.1438219398260116,1153.121423208,14.13,0.8318368658478803
quality_cce_b16_l512,cce,16,512,5000,16.0,3.425137519836426,18.716492014453717,40.33821548964618,0.1765781342983245,1093.623411727,4.98,0.1956452370396074
quality_default_b16_l512,default,16,512,5000,16.0,3.429173469543457,16.53904140964364,41.21745690549511,0.1730658262968063,601.945609702,12.57,0.1063005226055199
