activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,mesh,ok
False,4,fourchip_frontier_fsdp1_tp4_cce_r16_b4_l256_tc128_vc8192,True,4,synthetic,False,,2.3665966987609863,30.66167719200166,16,6.7507929834365665,256,2,3.235321283340454,30.218672162000075,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l256_tc128_vc8192,65.441759232,67.637338112,2.19557888,30.218672162000075,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,14.428165395972268,cce,8192,74.78272491700045,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l256_tc128_vc8192/xla/module_0956.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,0.5857682228088379,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_default_r16_b4_l256_tc128_vc8192,False,4,synthetic,True,,2.407329797744751,29.83623889000046,16,7.040814067912638,256,2,3.2539955377578735,28.973922338000193,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l256_tc128_vc8192,65.454946304,67.637338112,2.182391808,28.973922338000193,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,15.048014380440735,default,8192,73.0315642000005,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l256_tc128_vc8192/xla/module_0924.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,0.6775751113891602,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_cce_r16_b4_l512_tc128_vc8192,True,4,synthetic,False,,2.3794872760772705,32.81226724499902,16,6.231083126515713,512,2,3.241766571998596,32.73909140000069,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l512_tc128_vc8192,65.00514816,67.637338112,2.632189952,32.73909140000069,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,13.31741295667084,cce,8192,80.21331105799982,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l512_tc128_vc8192/xla/module_0967.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,0.7402195930480957,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_default_r16_b4_l512_tc128_vc8192,False,4,synthetic,True,,2.401068687438965,31.629320386999098,16,6.530485261532696,512,2,3.2508649826049805,31.2381074040004,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l512_tc128_vc8192,65.023152128,67.637338112,2.614185984,31.2381074040004,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,13.957311637393408,default,8192,76.71671210900058,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l512_tc128_vc8192/xla/module_0926.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.08,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_cce_r16_b4_l1024_tc128_vc8192,True,4,synthetic,False,,2.4235904216766357,35.87553130699962,16,5.59146284959907,1024,2,3.263818144798279,36.48419125500004,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l1024_tc128_vc8192,64.459034624,67.637338112,3.178303488,36.48419125500004,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,11.950381384437229,cce,8192,87.75610994400085,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l1024_tc128_vc8192/xla/module_0965.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.15,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_default_r16_b4_l1024_tc128_vc8192,False,4,synthetic,True,,2.386988401412964,34.857184406999295,16,5.906993270366912,1024,2,3.2438894510269165,34.535336449998795,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l1024_tc128_vc8192,64.475101184,67.637338112,3.162236928,34.535336449998795,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,12.624750322941049,default,8192,83.07948561599915,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l1024_tc128_vc8192/xla/module_0909.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.98,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_cce_r16_b4_l2048_tc128_vc8192,True,4,synthetic,False,,2.359126567840576,39.022475641999335,16,5.068357205810652,2048,2,3.2363741397857666,40.24972820899893,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l2048_tc128_vc8192,63.968968704,67.637338112,3.668369408,40.24972820899893,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,10.83237128300708,cce,8192,94.85549749999882,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l2048_tc128_vc8192/xla/module_0969.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.07,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_default_r16_b4_l2048_tc128_vc8192,False,4,synthetic,True,,2.3664345741271973,37.877083441999275,16,5.400594720622742,2048,2,3.240849018096924,37.773617638998985,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l2048_tc128_vc8192,63.982925824,67.637338112,3.654412288,37.773617638998985,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,11.542447540154487,default,8192,89.85797618499964,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l2048_tc128_vc8192/xla/module_0924.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.87,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_cce_r16_b4_l4096_tc128_vc8192,True,4,synthetic,False,,2.426435708999634,43.27863077300026,16,4.4076831276312385,4096,2,3.2743505239486694,46.28281890799917,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l4096_tc128_vc8192,63.532732416,67.637338112,4.104605696,46.28281890799917,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,9.420342370819704,cce,8192,109.20113657299952,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_cce_r16_b4_l4096_tc128_vc8192/xla/module_0952.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.78,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
False,4,fourchip_frontier_fsdp1_tp4_default_r16_b4_l4096_tc128_vc8192,False,4,synthetic,True,,2.4419407844543457,42.344250135998664,16,4.803936833356154,4096,2,3.2797350883483887,42.465171186999214,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l4096_tc128_vc8192,63.552256,67.637338112,4.085082112,42.465171186999214,False,ok,2.0,fourchip_frontier_fsdp1_tp4,False,128,v5litepod-4,10.267237545800407,default,8192,98.80875498999922,/tmp/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_default_r16_b4_l4096_tc128_vc8192/xla/module_0918.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,8.62,data/gemma3_270m_4chip_frontier/raw/gemma3-270m-cce-4chip-frontier-fourchip-frontier-tp4/gemma3-270m-cce-4chip-frontier/fourchip_frontier_fsdp1_tp4/fourchip_frontier_fsdp1_tp4_results.csv,fsdp1/tp4,True
