accelerator_type,backend,case_name,cce_enabled,cce_loop_count,chunk_configuration,chunk_loop_count,compile_time_sec,device_count,error_message,experiment_id,failure_type,first_step_time_sec,fsdp_degree,global_batch_size,hardware_target,hidden_size,hostname,measured_steps,median_step_time_sec,mesh_configuration,model_name,model_size,p95_step_time_sec,preset,profiler_path,repeat_index,returncode,run_id,runtime_hbm_peak_gb,scenario_group,sequence_length,shape,signature_label,source,source_log_path,status,steady_state_mean_step_time_sec,timestamp,timestamp_manifest,token_chunk,token_loop_count,tokens_per_sec,tp_degree,tpu_type,tpu_worker_id,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,workload_family,workload_runner,xla_planned_hbm_gib_per_chip,operation_family,execution_stack,execution_mode,cce_profiler_experiment_id,cuda_version,dstack_gpu_spec,dstack_run_name,dstack_status,hardware_role,hostname_manifest,recovered_from_dstack_log,run_dir,seed,torch_cuda_device_count,torch_version,workload_description,xla_dir
A100-80GB,gpu,exp0014_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,Runner recorded status=failure before the dstack run was aborted; per-case runner.log was unavailable after abort.,14,runner_failure,nan,4,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,nan,"fsdp=4,tp=1",nan,nan,nan,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_compile_chunked_matmul_loop,512,b16/L512,control-fsdp4-tp1,nan,nan,failure,nan,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,1,nan,nan,8192,32,262144,3,torch_compile_chunked_matmul_loop,torch_microbench,nan,chunked_matmul_loop,torch.compile,compile,2.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0014_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,0.0,4,2.6.0+cu124,torch.compile/Inductor chunk-loop projection matmul without XLA.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0014_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla
A100-80GB,gpu,exp0015_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,Runner recorded status=failure before the dstack run was aborted; per-case runner.log was unavailable after abort.,15,runner_failure,nan,1,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,nan,"fsdp=1,tp=4",nan,nan,nan,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_compile_chunked_matmul_loop,512,b16/L512,control-fsdp1-tp4,nan,nan,failure,nan,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,4,nan,nan,8192,32,262144,3,torch_compile_chunked_matmul_loop,torch_microbench,nan,chunked_matmul_loop,torch.compile,compile,3.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0015_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,0.0,4,2.6.0+cu124,torch.compile/Inductor chunk-loop projection matmul without XLA.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0015_gpu-a100-80gb-4_torch_compile_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla
A100-80GB,gpu,exp0008_gpu-a100-80gb-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,False,,128/8192,2048,,4,,8,,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.13136096299999167,"fsdp=2,tp=2",synthetic,,0.13136096299999167,pilot,,0,0.0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/collective_loop,512,b16/L512,bad,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.13136096299999167,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,62362.51480586755,2,,,8192,32,262144,3,collective_loop,jax_microbench,,collective_loop,JAX/XLA,jit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A100-80GB,gpu,exp0009_gpu-a100-80gb-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,False,,512/65536,64,,4,,9,,,2,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.036154212700006384,"fsdp=2,tp=2",synthetic,,0.036154212700006384,pilot,,0,0.0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/collective_loop,512,b16/L512,good,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.036154212700006384,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,512,16,226584.93680872087,2,,,65536,4,262144,3,collective_loop,jax_microbench,,collective_loop,JAX/XLA,jit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A100-80GB,gpu,exp0010_gpu-a100-80gb-4_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,False,,128/8192,2048,,4,,10,,,4,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.027945437099992886,"fsdp=4,tp=1",synthetic,,0.027945437099992886,pilot,,0,0.0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/collective_loop,512,b16/L512,control-fsdp4-tp1,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.027945437099992886,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,293142.668360771,1,,,8192,32,262144,3,collective_loop,jax_microbench,,collective_loop,JAX/XLA,jit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A100-80GB,gpu,exp0011_gpu-a100-80gb-4_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,False,,128/8192,2048,,4,,11,,,1,16,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,10,0.1346470770000053,"fsdp=1,tp=4",synthetic,,0.1346470770000053,pilot,,0,0.0,mesh-pathology-gpu-a100-80gb-4-spot2,,gpu-a100-80gb-4/collective_loop,512,b16/L512,control-fsdp1-tp4,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.1346470770000053,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,60840.53350819994,4,,,8192,32,262144,3,collective_loop,jax_microbench,,collective_loop,JAX/XLA,jit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A100-80GB,gpu,exp0004_gpu-a100-80gb-4_torch_eager_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,nan,4,nan,,2,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,,"fsdp=2,tp=2",nan,nan,,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_eager_collective_loop,512,b16/L512,bad,nan,nan,success,0.3262595245614648,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,2,nan,nan,8192,32,262144,3,torch_eager_collective_loop,torch_microbench,nan,collective_loop,PyTorch eager,eager,0.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0004_gpu-a100-80gb-4_torch_eager_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,0.0,4,2.6.0+cu124,PyTorch eager repeated NCCL all-reduce over chunk-sized tensors.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0004_gpu-a100-80gb-4_torch_eager_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0/xla
A100-80GB,gpu,exp0005_gpu-a100-80gb-4_torch_eager_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,nan,,512/65536,64,nan,4,nan,5,nan,,2,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,,"fsdp=2,tp=2",nan,nan,,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_eager_collective_loop,512,b16/L512,good,nan,nan,success,0.04927776278927922,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,512,16,nan,2,nan,nan,65536,4,262144,3,torch_eager_collective_loop,torch_microbench,nan,collective_loop,PyTorch eager,eager,1.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0005_gpu-a100-80gb-4_torch_eager_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,0.0,4,2.6.0+cu124,PyTorch eager repeated NCCL all-reduce over chunk-sized tensors.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0005_gpu-a100-80gb-4_torch_eager_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0/xla
A100-80GB,gpu,exp0006_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,nan,6,nan,,4,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,,"fsdp=4,tp=1",nan,nan,,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_eager_collective_loop,512,b16/L512,control-fsdp4-tp1,nan,nan,success,0.08464664183557033,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,1,nan,nan,8192,32,262144,3,torch_eager_collective_loop,torch_microbench,nan,collective_loop,PyTorch eager,eager,2.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0006_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,0.0,4,2.6.0+cu124,PyTorch eager repeated NCCL all-reduce over chunk-sized tensors.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0006_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0/xla
A100-80GB,gpu,exp0007_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,nan,,128/8192,2048,nan,4,nan,7,nan,,1,16,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,,"fsdp=1,tp=4",nan,nan,,pilot,,0,nan,20260616T020315Z,nan,gpu-a100-80gb-4/torch_eager_collective_loop,512,b16/L512,control-fsdp1-tp4,nan,nan,success,0.32996717100031675,2026-06-16T02:05:58+00:00,2026-06-16T02:03:15+00:00,128,64,nan,4,nan,nan,8192,32,262144,3,torch_eager_collective_loop,torch_microbench,nan,collective_loop,PyTorch eager,eager,3.0,12.4,A100:4:80GB,mesh-pathology-gpu-a100-torch3,aborted_after_partial_results,primary_gpu_baseline,Chansungs-MacBook-Pro-2.local,True,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0007_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,0.0,4,2.6.0+cu124,PyTorch eager repeated NCCL all-reduce over chunk-sized tensors.,/private/tmp/mesh-pathology-gpu-a100-pytorch-reconstruct/runs/exp0007_gpu-a100-80gb-4_torch_eager_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0/xla
