model,batch_size,variant,max_ok_context,first_failed_context,ok_rows,failed_rows,mesh,tpu,chips
Gemma3 270M,1,cce,4096,,5,0,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,1,default,4096,,5,0,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,4,cce,4096,,5,0,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,4,default,2048,4096,4,1,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,8,cce,2048,4096,4,1,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,8,default,1024,2048,3,2,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,16,cce,1024,2048,3,2,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,16,default,512,1024,2,3,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,32,cce,1024,2048,3,2,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,32,default,256,512,1,4,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,64,cce,512,1024,2,3,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,64,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,128,cce,256,512,1,4,fsdp4/tp1,v5litepod-4,4
Gemma3 270M,128,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,1,cce,4096,,5,0,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,1,default,4096,,5,0,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,4,cce,2048,4096,4,1,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,4,default,1024,2048,3,2,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,8,cce,1024,2048,3,2,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,8,default,512,1024,2,3,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,16,cce,512,1024,2,3,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,16,default,256,512,1,4,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,32,cce,256,512,1,4,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,32,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,64,cce,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,64,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,128,cce,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma3 1B,128,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,1,cce,2048,4096,4,1,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,1,default,1024,2048,3,2,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,4,cce,512,1024,2,3,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,4,default,256,512,1,4,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,8,cce,256,512,1,4,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,8,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,16,cce,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,16,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,32,cce,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,32,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,64,cce,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,64,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,128,cce,0,256,0,5,fsdp4/tp1,v5litepod-4,4
Gemma4 E2B,128,default,0,256,0,5,fsdp4/tp1,v5litepod-4,4
