model,size,chip_type,tpu,chips,batch_size,max_length,variant,status,aggregate_xla_hbm_gib,xla_peak_gib_per_chip
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,1024,cce-lora,ok,18.774112701416016,4.693528175354004
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,2048,cce-lora,ok,34.089908599853516,8.522477149963379
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,4096,cce-lora,ok,58.577890396118164,14.644472599029541
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,8192,cce-lora,oom,121.77457618713379,30.443644046783447
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,512,default-lora,ok,34.49343490600586,8.623358726501465
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,1024,default-lora,oom,62.07609176635742,15.519022941589355
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,2048,default-lora,skipped,,
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,4096,default-lora,skipped,,
1B,1b,Cloud TPU v5e,v5litepod-4,4,32,8192,default-lora,skipped,,
1B,1b,Cloud TPU v5e,v5litepod-4,4,64,512,cce-lora,ok,18.748706817626953,4.687176704406738
1B,1b,Cloud TPU v5e,v5litepod-4,4,64,1024,cce-lora,ok,33.751285552978516,8.437821388244629
1B,1b,Cloud TPU v5e,v5litepod-4,4,64,2048,cce-lora,ok,56.22548866271973,14.056372165679932
1B,1b,Cloud TPU v5e,v5litepod-4,4,64,4096,cce-lora,oom,101.7906436920166,25.44766092300415
1B,1b,Cloud TPU v5e,v5litepod-4,4,64,512,default-lora,oom,62.03341293334961,15.508353233337402
1B,1b,Cloud TPU v5e,v5litepod-4,4,64,1024,default-lora,skipped,,
1B,1b,Cloud TPU v5e,v5litepod-4,4,64,2048,default-lora,skipped,,
1B,1b,Cloud TPU v5e,v5litepod-4,4,64,4096,default-lora,skipped,,
