activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,repeat,mesh,shape,ok
False,16,mesh_fsdp1_tp4_repeat1_default_r16_b16_l1024_tc128_vc8192,False,4,synthetic,True,,0.1976891309022903,42.15088598000011,16,136.37895532597773,1024,8,1.444547263905406,6.129978030714223,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_default_r16_b16_l1024_tc128_vc8192,63.617581568,67.637338112,4.019756544,42.2841850650002,False,ok,8.0,mesh_fsdp1_tp4_repeat1,False,128,v5litepod-4,291.02877548031614,default,8192,99.43709030799982,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_default_r16_b16_l1024_tc128_vc8192/xla/module_0934.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.86,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-repeat-rest/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_results.csv,1,fsdp1/tp4,b16/L1024,True
,16,mesh_fsdp4_tp1_repeat1_default_r16_b16_l1024_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,1024,8,,,4,1,Gemma3 270M,google/gemma-3-270m-it,5.04,15.75,20.79,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_default_r16_b16_l1024_tc128_vc8192,,,,,,failed,,mesh_fsdp4_tp1_repeat1,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_default_r16_b16_l1024_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.06,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-repeat-rest/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_results.csv,1,fsdp4/tp1,b16/L1024,False
False,32,mesh_fsdp2_tp2_repeat1_cce_r16_b32_l512_tc128_vc8192,True,4,synthetic,False,,0.1739412397146225,33.902336201000026,16,54.858465656348265,512,8,1.3996077869087458,30.73884211142854,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_cce_r16_b32_l512_tc128_vc8192,65.063657472,67.637338112,2.57368064,30.820494128000064,False,ok,8.0,mesh_fsdp2_tp2_repeat1,False,128,v5litepod-4,117.00412837717926,cce,8192,293.53806377700016,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_cce_r16_b32_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.56,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-2x2-repeat/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_results.csv,1,fsdp2/tp2,b32/L512,True
False,32,mesh_fsdp1_tp4_repeat1_cce_r16_b32_l512_tc128_vc8192,True,4,synthetic,False,,0.1531142145395279,43.046583890999955,16,168.910243810537,512,8,1.3790574576705694,9.9833241385714,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_cce_r16_b32_l512_tc128_vc8192,63.609135104,67.637338112,4.028203008,46.37553498199986,False,ok,8.0,mesh_fsdp1_tp4_repeat1,False,128,v5litepod-4,360.2579039456184,cce,8192,131.04933564400017,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_cce_r16_b32_l512_tc128_vc8192/xla/module_0965.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.77,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-repeat-rest/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_results.csv,1,fsdp1/tp4,b32/L512,True
False,32,mesh_fsdp4_tp1_repeat1_cce_r16_b32_l512_tc128_vc8192,True,4,synthetic,False,,0.1035282909870147,29.148825960999943,16,2144.293452780375,512,8,1.373964373022318,0.7864062225714535,4,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_cce_r16_b32_l512_tc128_vc8192,65.211099136,67.637338112,2.426238976,0.8495740150000302,False,ok,8.0,mesh_fsdp4_tp1_repeat1,False,128,v5litepod-4,4573.426971128322,cce,8192,48.51246640299996,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_cce_r16_b32_l512_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.29,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-repeat-rest/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_results.csv,1,fsdp4/tp1,b32/L512,True
False,32,mesh_fsdp2_tp2_repeat1_default_r16_b32_l512_tc128_vc8192,False,4,synthetic,True,,0.2292726188898086,32.65323141400006,16,5452.184292256064,512,8,1.434822989627719,0.3092862647142738,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_default_r16_b32_l512_tc128_vc8192,65.03971584,67.637338112,2.597622272,0.3922460229999842,False,ok,8.0,mesh_fsdp2_tp2_repeat1,False,128,v5litepod-4,11628.61671821744,default,8192,50.175412747,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_default_r16_b32_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.11,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-2x2-repeat/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_results.csv,1,fsdp2/tp2,b32/L512,True
False,32,mesh_fsdp1_tp4_repeat1_default_r16_b32_l512_tc128_vc8192,False,4,synthetic,True,,0.1719086915254593,42.25247170199964,16,277.2576923408171,512,8,1.4084457512944937,6.082015975999899,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_default_r16_b32_l512_tc128_vc8192,63.608003072,67.637338112,4.02933504,41.97567962699986,False,ok,8.0,mesh_fsdp1_tp4_repeat1,False,128,v5litepod-4,591.3452780728915,default,8192,98.92824034800014,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_default_r16_b32_l512_tc128_vc8192/xla/module_0927.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.59,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-repeat-rest/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_results.csv,1,fsdp1/tp4,b32/L512,True
,32,mesh_fsdp4_tp1_repeat1_default_r16_b32_l512_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,512,8,,,4,1,Gemma3 270M,google/gemma-3-270m-it,5.04,15.75,20.79,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_default_r16_b32_l512_tc128_vc8192,,,,,,failed,,mesh_fsdp4_tp1_repeat1,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_default_r16_b32_l512_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.06,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-repeat-rest/gemma3-270m-cce-mesh-repeat/mesh_fsdp4_tp1_repeat1/mesh_fsdp4_tp1_repeat1_results.csv,1,fsdp4/tp1,b32/L512,False
False,32,mesh_fsdp2_tp2_repeat1_cce_r16_b32_l1024_tc128_vc8192,True,4,synthetic,False,,0.1890388578176498,35.419536108999864,16,27.41533075932021,1024,8,1.4070894327014685,61.50885900628571,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_cce_r16_b32_l1024_tc128_vc8192,65.088024576,67.637338112,2.549313536,61.5908868649999,False,ok,8.0,mesh_fsdp2_tp2_repeat1,False,128,v5litepod-4,58.47241335112212,cce,8192,541.4860680939998,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_cce_r16_b32_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,9.54,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-2x2-repeat/gemma3-270m-cce-mesh-repeat/mesh_fsdp2_tp2_repeat1/mesh_fsdp2_tp2_repeat1_results.csv,1,fsdp2/tp2,b32/L1024,True
False,32,mesh_fsdp1_tp4_repeat1_cce_r16_b32_l1024_tc128_vc8192,True,4,synthetic,False,,0.1719622761011123,46.773828417,16,117.1910390846509,1024,8,1.404346013441682,14.389203538571367,1,4,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_cce_r16_b32_l1024_tc128_vc8192,63.376564224,67.637338112,4.260773888,53.648003291999885,False,ok,8.0,mesh_fsdp1_tp4_repeat1,False,128,v5litepod-4,249.94930531982132,cce,8192,169.28758728799994,/tmp/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_cce_r16_b32_l1024_tc128_vc8192/xla/module_1018.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.69,data/gemma3_270m_mesh_cce_repeat/raw/gemma3-270m-cce-mesh-repeat-mesh-repeat-rest/gemma3-270m-cce-mesh-repeat/mesh_fsdp1_tp4_repeat1/mesh_fsdp1_tp4_repeat1_results.csv,1,fsdp1/tp4,b32/L1024,True
