feature,coefficient_log_seconds,multiplicative_effect,abs_coefficient,n_rows,r2
intercept,-4.073601704266112,,4.073601704266112,40,0.8541138241939598
has_matmul,-2.5585464260346678,0.07741719030870388,2.5585464260346678,40,0.8541138241939598
op_collective_loop,-1.515055278231445,0.21979603457587205,1.515055278231445,40,0.8541138241939598
op_projection_collective_loop,1.4012304647214653,4.0601928184763105,1.4012304647214653,40,0.8541138241939598
tp_degree,0.5389650367498469,1.7142317768779642,0.5389650367498469,40,0.8541138241939598
log_chunk_loop_count,0.462490316229348,1.5880237461837363,0.462490316229348,40,0.8541138241939598
tp_x_collective,-0.33589009488353055,0.7147016508679063,0.33589009488353055,40,0.8541138241939598
log_token_loop_count,0.313994291178217,1.3688819218221355,0.313994291178217,40,0.8541138241939598
log_loop_x_collective,-0.3089114139426493,0.7342458110868857,0.3089114139426493,40,0.8541138241939598
log_vocab_loop_count,0.1484960250511566,1.160088186474067,0.1484960250511566,40,0.8541138241939598
log_loop_x_tp_x_collective,0.129467231708776,1.1382218132678343,0.129467231708776,40,0.8541138241939598
has_collective,-0.11382481350997259,0.8924142811145329,0.11382481350997259,40,0.8541138241939598
log_loop_x_tp,-0.10480364831059046,0.9005013201839778,0.10480364831059046,40,0.8541138241939598
