model,run_label,variant,model_id,accelerator_type,tpu_name,tpu_zone,jax_devices,batch_size,max_length,steps,final_loss,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,loss_tokens_per_sec_excl_first,packing_efficiency,row_reduction_x,cumulative_valid_tokens,cumulative_loss_tokens,peak_memory_aggregate_gb_after_train,peak_memory_per_chip_gb_after_train,wall_time_sec
Gemma3 1B,Gemma3-1B,unpacked,google/gemma-3-1b-it,v5litepod-4,tunix-packing-1b,us-west4-a,4,8,512,50,2.356701135635376,0.21881350326530732,1264.5192066393372,402.9151034578799,0.10491434733072917,1.0,13842,4408,5.923964928,1.480991232,69.80462649699996
Gemma3 1B,Gemma3-1B,packed,google/gemma-3-1b-it,v5litepod-4,tunix-packing-1b,us-west4-a,4,8,512,50,1.5123175382614136,0.21908724773469407,18622.065798177755,8436.765600069817,0.9930604876893939,9.467803030303031,203998,92878,5.932947456,1.483236864,62.06480442700001
Gemma3 4B,Gemma3-4B,unpacked,google/gemma-3-4b-it,v5litepod-4,tunix-packing-4b,us-west4-a,4,4,512,50,1.3675156831741333,0.22386503930612417,621.7302795505335,199.46420112266384,0.10488742556545236,1.0,6996,2254,16.51068416,4.15129856,88.81610353200006
Gemma3 4B,Gemma3-4B,packed,google/gemma-3-4b-it,v5litepod-4,tunix-packing-4b,us-west4-a,4,4,512,50,1.0672560930252075,0.22359830124489877,9139.020182076281,4614.872050795376,0.9930604876893939,9.467803030303031,102167,51765,16.514352128,4.15129856,82.21120011599999
