activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,ok,mesh
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc16384,True,4,synthetic,False,1.3153165578842163,33.43105105599898,16,203.43200792144043,512,4,2.3561322689056396,4.089818551667122,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc16384,65.347889152,67.637338112,2.28944896,4.1548705530003645,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,256,v5litepod-4,434.2490938323056,cce,16384,64.34440026399898,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc16384/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc32768,True,4,synthetic,False,1.3311998844146729,31.96435092899992,16,374.475116356822,512,4,2.3778433203697205,2.221776464333137,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc32768,65.346881536,67.637338112,2.290456576,2.286617658999603,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,256,v5litepod-4,799.3603445309085,cce,32768,54.553284101002646,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc256_vc32768/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc4096,True,4,synthetic,False,1.310535907745361,33.256880221000756,16,105.96419383040188,512,4,2.357240378856659,7.851708864332371,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc4096,65.346942976,67.637338112,2.290395136,7.915384648997133,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,512,v5litepod-4,226.19279836874247,cce,4096,78.00172363300226,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc4096/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc8192,True,4,synthetic,False,1.3577284812927246,33.3011821479995,16,203.1741640307072,512,4,2.391901731491089,4.095008850998663,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc8192,65.34754304,67.637338112,2.289795072,4.160149281997292,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,512,v5litepod-4,433.6986962963173,cce,8192,63.118644406000385,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc16384,True,4,synthetic,False,1.3153165578842163,32.592364086998714,16,374.76135072193665,512,4,2.3561322689056396,2.2200795209998128,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc16384,65.345120256,67.637338112,2.292217856,2.28418900899851,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,512,v5litepod-4,799.9713448102879,cce,16384,55.44622004700068,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc16384/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc32768,True,4,synthetic,False,1.3311998844146729,31.446612012001424,16,645.4596156903582,512,4,2.3778433203697205,1.2890039590007898,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc32768,65.344260096,67.637338112,2.293078016,1.3544011970006975,False,ok,4,fourchip_chunk_fsdp2_tp2_b16_l512,False,512,v5litepod-4,1377.8080258005723,cce,32768,49.869964593002805,/tmp/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_cce_r16_b16_l512_tc512_vc32768/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-4chip-chunk-fourchip-chunk-2x2/gemma3-270m-cce-4chip-chunk/fourchip_chunk_fsdp2_tp2_b16_l512/fourchip_chunk_fsdp2_tp2_b16_l512_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l512_tc512_vc32768,True,4,synthetic,False,0.2316133975982666,31.27712012399934,16,657.2957359190223,512,8,1.458751268684864,1.2718780212853744,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l512_tc512_vc32768,65.344260096,67.637338112,2.293078016,1.3531567369973343,False,ok,8,fourchip_chunk_candidate_fsdp2_tp2,False,512,v5litepod-4,1402.650230717148,cce,32768,55.21257070399952,/tmp/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l512_tc512_vc32768/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-impl-chunk-candidate/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l512_tc512_vc65536,True,4,synthetic,False,0.2277822941541671,31.302711543998157,16,1004.8032497108812,512,8,1.459953298792243,0.8320036785714494,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l512_tc512_vc65536,65.34564864,67.637338112,2.291689472,0.9132385569973848,False,ok,8,fourchip_chunk_candidate_fsdp2_tp2,False,512,v5litepod-4,2144.2212888567133,cce,65536,52.02503789199909,/tmp/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l512_tc512_vc65536/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.65,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-impl-chunk-candidate/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l1024_tc512_vc32768,True,4,synthetic,False,0.2300854325294494,32.867896275998646,16,328.48005146246004,1024,8,1.4626263231039047,2.545055616856968,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l1024_tc512_vc32768,65.13688576,67.637338112,2.500452352,2.626330080001935,False,ok,8,fourchip_chunk_candidate_fsdp2_tp2,False,512,v5litepod-4,700.9669997715655,cce,32768,66.72518514500189,/tmp/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l1024_tc512_vc32768/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.13,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-impl-chunk-candidate/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_results.csv,True,fsdp2/tp2
False,16,fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l1024_tc512_vc65536,True,4,synthetic,False,0.2230014950037002,32.858987086001434,16,501.80459074988215,1024,8,1.4517829846590755,1.6659871499993772,2,2,Gemma3 270M,google/gemma-3-270m-it,/tmp/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l1024_tc512_vc65536,65.138530304,67.637338112,2.498807808,1.747925720999774,False,ok,8,fourchip_chunk_candidate_fsdp2_tp2,False,512,v5litepod-4,1070.83659078683,cce,65536,59.920242300999234,/tmp/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_cce_r16_b16_l1024_tc512_vc65536/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.13,data/gemma3_270m_4chip_chunk/raw/gemma3-270m-cce-impl-chunk-candidate/gemma3-270m-cce-impl-chunk-candidate/fourchip_chunk_candidate_fsdp2_tp2/fourchip_chunk_candidate_fsdp2_tp2_results.csv,True,fsdp2/tp2
