model_name,mesh_configuration,shape,slow_chunk,fast_chunk,slow_cce_loop_count,fast_cce_loop_count,slow_step_time_sec,fast_step_time_sec,recovery_x,slow_xla_hbm_gib,fast_xla_hbm_gib,hbm_increase_pct,slow_default_ratio,fast_default_ratio
Gemma3 270M,"fsdp=2,tp=2",b16/L512,128/8192,512/65536,128.0,4.0,15.360088762900045,0.8191011746000413,18.752370573025022,2.65,2.65,0.0,105.47320995226724,5.6245267520464175
Gemma3 270M,"fsdp=2,tp=2",b32/L512,128/8192,512/65536,128.0,4.0,30.72606887959996,1.6451459146999696,18.67680465608035,4.56,4.56,0.0,103.72258293500363,5.5535507730031375
Gemma3 270M,"fsdp=2,tp=2",b16/L1024,128/8192,512/65536,256.0,8.0,30.73765835320007,1.6532156834000034,18.5926486554888,5.13,5.13,0.0,100.39064745890968,5.399480693638182
Gemma3 270M,"fsdp=2,tp=2",b16/L512,128/8192,512/32768,128.0,8.0,15.360088762900045,1.259174191399984,12.198541605925293,2.65,2.65,0.0,105.47320995226724,8.646378670466223
Gemma3 270M,"fsdp=2,tp=2",b32/L512,128/8192,512/32768,128.0,8.0,30.72606887959996,2.5222359872000197,12.182075363102534,4.56,4.56,0.0,103.72258293500363,8.514360635886554
Gemma3 270M,"fsdp=2,tp=2",b16/L1024,128/8192,512/32768,256.0,16.0,30.73765835320007,2.532376875099999,12.137868835967119,5.13,5.13,0.0,100.39064745890968,8.270862769700607
Gemma3 270M,"fsdp=2,tp=2",b16/L512,128/8192,256/32768,128.0,16.0,15.360088762900045,2.191537217300015,7.008819490560033,2.65,2.65,0.0,105.47320995226724,15.048641229000962
Gemma3 270M,"fsdp=2,tp=2",b32/L512,128/8192,256/32768,128.0,16.0,30.72606887959996,4.38892698300001,7.000815688803609,4.56,4.56,0.0,103.72258293500363,14.815785409246947
Gemma3 270M,"fsdp=2,tp=2",b16/L1024,128/8192,256/32768,256.0,32.0,30.73765835320007,4.396529371600013,6.9913460721436795,5.13,5.13,0.0,100.39064745890968,14.359273081746904
Gemma3 270M,"fsdp=2,tp=2",b16/L512,128/32768,512/65536,32.0,4.0,4.07437829280002,0.8191011746000413,4.974206385175186,2.65,2.65,0.0,27.977556883617936,5.6245267520464175
Gemma3 270M,"fsdp=2,tp=2",b32/L512,128/32768,512/65536,32.0,4.0,8.153592084300021,1.6451459146999696,4.956151312442712,4.56,4.56,0.0,27.52423795233674,5.5535507730031375
Gemma3 270M,"fsdp=2,tp=2",b16/L1024,128/32768,512/65536,64.0,8.0,8.164488217700045,1.6532156834000034,4.938549942200499,5.13,5.13,0.0,26.665605067479554,5.399480693638182
Gemma3 270M,"fsdp=1,tp=4",b32/L512,128/8192,512/65536,128.0,4.0,3.9187758799000223,0.848016827200172,4.621106273136495,2.77,2.91,5.054151624548741,38.93945907971417,8.426436610228548
