shape,chunk_configuration,repeats,successes,mean_step_time_sec,std_step_time_sec,mean_xla_hbm_gib
b16/L1024,128/8192,3,3,30.737839272066747,0.000151482781171484,5.13
b16/L1024,256/32768,3,3,4.396478667866677,0.00028107826558692196,5.13
b16/L1024,512/65536,3,3,1.6533650816000771,0.0002312539464937326,5.13
b16/L512,128/8192,3,3,15.360351148333303,6.46471957476065e-05,2.65
b16/L512,256/32768,3,3,2.1917836981666063,8.621168005307286e-05,2.65
b16/L512,512/65536,3,3,0.8195179711666394,1.178146481559496e-05,2.65
