variant,steps,batch_size,max_length,wall_time_sec,mean_step_time_sec_excl_first,loss_tokens_per_sec_excl_first,valid_tokens_per_sec_excl_first,runtime_peak_hbm_gb,xla_train_step_gib_per_chip,packing_efficiency,row_reduction_x,final_loss,eval_loss,final_cumulative_loss_tokens,final_cumulative_valid_tokens,final_cumulative_step_time_sec
unpacked,5000,16,512,604.145476938,0.10643060565393073,3295.2583621391896,8071.012988061363,1.419611136,12.57,0.10491434733072917,1.0,0.003704099915921688,4.203810214996338,1753490,4294858,563.9714420049996
packed,1000,16,512,177.252272254,0.10663510283683753,31222.283308393264,76293.41877228532,1.42390272,12.57,0.9930604876893939,9.467803030303031,0.013161713257431984,4.330083847045898,3330580,8135599,138.2318904100007
