batch_size,dataset,examples,loss_tokens_retained_ratio,max_length,overlength_examples,overlength_rate,packed_loss_ratio,packed_loss_ratio_rounded,packed_rows,packed_rows_rounded,packed_valid_ratio,packed_valid_ratio_rounded,packed_vs_dynamic_loss_gain_x,packed_vs_fixed_loss_gain_x,packed_vs_fixed_valid_gain_x,packing_seconds,row_reduction_x,unpacked_dynamic_loss_ratio,unpacked_dynamic_valid_ratio,unpacked_fixed_loss_ratio,unpacked_fixed_valid_ratio,dataset_slug,dataset_label
8,opus100_en_fr,5000,0.9793752393456973,256,26,0.0052,0.39845975783475784,0.39732776988636365,1053,1056,0.9886447946343779,0.9858361446496212,2.2205551609848486,4.734848484848485,4.734848484848484,0.22078345902264118,4.748338081671415,0.17893172701467275,0.4439593134053867,0.083915625,0.20820859375,opus100,OPUS EN-FR
16,opus100_en_fr,5000,0.9793752393456973,256,26,0.0052,0.39845975783475784,0.39732776988636365,1053,1056,0.9886447946343779,0.9858361446496212,2.706557765151515,4.742424242424243,4.742424242424242,0.3223819169215858,4.748338081671415,0.14680188060354254,0.3642398316203805,0.08378157448083066,0.20787599216253994,opus100,OPUS EN-FR
32,opus100_en_fr,5000,0.9793752393456973,256,26,0.0052,0.39845975783475784,0.39732776988636365,1053,1056,0.9886447946343779,0.9858361446496212,3.245028409090909,4.757575757575757,4.757575757575758,0.22494462504982948,4.748338081671415,0.12244200043773254,0.3037989257313781,0.08351475417993631,0.207213966709793,opus100,OPUS EN-FR
8,opus100_en_fr,5000,0.9995167496398417,512,1,0.0002,0.40473254371455575,0.39944685750932835,529,536,0.9930736058601134,0.9801043610074627,2.2592700559701493,9.328358208955224,9.328358208955223,0.13570658303797245,9.45179584120983,0.17680350184511368,0.4338146112358391,0.042820703125,0.1050671875,opus100,OPUS EN-FR
16,opus100_en_fr,5000,0.9995167496398417,512,1,0.0002,0.40473254371455575,0.3935726390165441,529,544,0.9930736058601134,0.9656910615808824,2.7582720588235294,9.205882352941178,9.205882352941178,0.13685662508942187,9.45179584120983,0.14268811437854048,0.3501072559146951,0.04275229944588658,0.10489934854233227,opus100,OPUS EN-FR
32,opus100_en_fr,5000,0.9995167496398417,512,1,0.0002,0.40473254371455575,0.3935726390165441,529,544,0.9930736058601134,0.9656910615808824,3.4052159926470584,9.235294117647058,9.235294117647058,0.13608354097232223,9.45179584120983,0.11557934646917913,0.2835917203684335,0.04261614562599522,0.1045652741839172,opus100,OPUS EN-FR
8,opus100_en_fr,5000,1.0,1024,0,0.0,0.4056951349431818,0.4056951349431818,264,264,0.9960678562973485,0.9960678562973485,2.302408854166667,18.93939393939394,18.93939393939394,0.0931225421372801,18.939393939393938,0.1762046450651003,0.43261988612264307,0.021420703125,0.0525923828125,opus100,OPUS EN-FR
16,opus100_en_fr,5000,1.0,1024,0,0.0,0.4056951349431818,0.39376292509191174,264,272,0.9960678562973485,0.9667717428768382,2.7755629595588234,18.41176470588235,18.41176470588235,0.09571975003927946,18.939393939393938,0.14186776910818139,0.34831555146221826,0.02138648474940096,0.05250836942142572,opus100,OPUS EN-FR
32,opus100_en_fr,5000,1.0,1024,0,0.0,0.4056951349431818,0.37188720703125,264,288,0.9960678562973485,0.9130622016059028,3.248697916666667,17.444444444444443,17.444444444444446,0.09335837489925325,18.939393939393938,0.11447269539078156,0.2810548179692719,0.02131837492535828,0.052341145314988055,opus100,OPUS EN-FR
8,opus100_en_fr,5000,1.0,2048,0,0.0,0.4056951349431818,0.39376292509191174,132,136,0.9960678562973485,0.9667717428768382,2.2346909466911766,36.76470588235294,36.76470588235294,0.0717964160721749,37.878787878787875,0.1762046450651003,0.43261988612264307,0.0107103515625,0.02629619140625,opus100,OPUS EN-FR
16,opus100_en_fr,5000,1.0,2048,0,0.0,0.4056951349431818,0.37188720703125,132,144,0.9960678562973485,0.9130622016059028,2.621365017361111,34.77777777777778,34.77777777777778,0.14291266701184213,37.878787878787875,0.14186776910818139,0.34831555146221826,0.01069324237470048,0.02625418471071286,opus100,OPUS EN-FR
32,opus100_en_fr,5000,1.0,2048,0,0.0,0.4056951349431818,0.334698486328125,132,160,0.9960678562973485,0.8217559814453125,2.923828125,31.4,31.400000000000002,0.07794720795936882,37.878787878787875,0.11447269539078156,0.2810548179692719,0.01065918746267914,0.026170572657494028,opus100,OPUS EN-FR
8,opus100_en_fr,5000,1.0,4096,0,0.0,0.4056951349431818,0.37188720703125,66,72,0.9960678562973485,0.9130622016059028,2.110541449652778,69.44444444444444,69.44444444444444,0.05916791595518589,75.75757575757575,0.1762046450651003,0.43261988612264307,0.00535517578125,0.013148095703125,opus100,OPUS EN-FR
16,opus100_en_fr,5000,1.0,4096,0,0.0,0.4056951349431818,0.334698486328125,66,80,0.9960678562973485,0.8217559814453125,2.359228515625,62.599999999999994,62.599999999999994,0.06324216700159013,75.75757575757575,0.14186776910818139,0.34831555146221826,0.00534662118735024,0.01312709235535643,opus100,OPUS EN-FR
32,opus100_en_fr,5000,1.0,4096,0,0.0,0.4056951349431818,0.2789154052734375,66,96,0.9960678562973485,0.6847966512044271,2.4365234375,52.333333333333336,52.333333333333336,0.06443837517872453,75.75757575757575,0.11447269539078156,0.2810548179692719,0.00532959373133957,0.013085286328747014,opus100,OPUS EN-FR
8,alpaca,5000,0.9843546865365614,256,78,0.0156,0.6270016278013325,0.6251085069444444,1651,1656,0.9908909373107208,0.987899116847826,1.8498641304347825,3.0193236714975846,3.019323671497584,0.36952970805577934,3.0284675953967293,0.3379213081976578,0.5340387440323173,0.2070359375,0.3271921875,alpaca,Alpaca
16,alpaca,5000,0.9843546865365614,256,78,0.0156,0.6270016278013325,0.6221031775841346,1651,1664,0.9908909373107208,0.9831496018629807,2.16650390625,3.0096153846153846,3.009615384615384,0.3607602911069989,3.0284675953967293,0.2871461139716718,0.45379544390700577,0.20670520916533547,0.3266695162739617,alpaca,Alpaca
32,alpaca,5000,0.9843546865365614,256,78,0.0156,0.6270016278013325,0.6221031775841346,1651,1664,0.9908909373107208,0.9831496018629807,2.5113431490384612,3.019230769230769,3.019230769230769,0.3639282500371337,3.0284675953967293,0.24771731327211272,0.3914835781161198,0.20604691232085987,0.3256291674960191,alpaca,Alpaca
8,alpaca,5000,1.0,512,0,0.0,0.6327513913959085,0.6319908728966346,831,832,0.9942322879061372,0.9930372971754807,1.9166353665865383,6.009615384615384,6.009615384615384,0.21956212515942752,6.016847172081829,0.32973975327513055,0.5181148769805108,0.10516328125,0.16524140625,alpaca,Alpaca
16,alpaca,5000,1.0,512,0,0.0,0.6327513913959085,0.6319908728966346,831,832,0.9942322879061372,0.9930372971754807,2.311279296875,6.019230769230768,6.019230769230769,0.21662641689181328,6.016847172081829,0.27343769043885235,0.4296483330760293,0.1049952887879393,0.1649774423422524,alpaca,Alpaca
32,alpaca,5000,1.0,512,0,0.0,0.6327513913959085,0.6319908728966346,831,832,0.9942322879061372,0.9930372971754807,2.7935884915865383,6.038461538461538,6.038461538461538,0.23868087492883205,6.016847172081829,0.22622905084267209,0.3554701417786532,0.10466090888734077,0.16445203647492038,alpaca,Alpaca
8,alpaca,5000,1.0,1024,0,0.0,0.6335137424698796,0.6319908728966346,415,416,0.9954301581325301,0.9930372971754807,1.9166353665865383,12.019230769230768,12.019230769230768,0.14195979200303555,12.048192771084338,0.32973975327513055,0.5181148769805108,0.052581640625,0.082620703125,alpaca,Alpaca
16,alpaca,5000,1.0,1024,0,0.0,0.6335137424698796,0.6319908728966346,415,416,0.9954301581325301,0.9930372971754807,2.311279296875,12.038461538461537,12.038461538461538,0.144093083916232,12.048192771084338,0.27343769043885235,0.4296483330760293,0.05249764439396965,0.0824887211711262,alpaca,Alpaca
32,alpaca,5000,1.0,1024,0,0.0,0.6335137424698796,0.6319908728966346,415,416,0.9954301581325301,0.9930372971754807,2.7935884915865383,12.076923076923077,12.076923076923077,0.14543224987573922,12.048192771084338,0.22622905084267209,0.3554701417786532,0.052330454443670384,0.08222601823746019,alpaca,Alpaca
8,alpaca,5000,1.0,2048,0,0.0,0.6350439689009661,0.6319908728966346,207,208,0.9978345788043478,0.9930372971754807,1.9166353665865383,24.038461538461537,24.038461538461537,0.10958124999888241,24.154589371980677,0.32973975327513055,0.5181148769805108,0.0262908203125,0.0413103515625,alpaca,Alpaca
16,alpaca,5000,1.0,2048,0,0.0,0.6350439689009661,0.6319908728966346,207,208,0.9978345788043478,0.9930372971754807,2.311279296875,24.076923076923073,24.076923076923077,0.11234187497757375,24.154589371980677,0.27343769043885235,0.4296483330760293,0.026248822196984826,0.0412443605855631,alpaca,Alpaca
32,alpaca,5000,1.0,2048,0,0.0,0.6350439689009661,0.5868486676897321,207,224,0.9978345788043478,0.9221060616629464,2.594046456473214,22.428571428571427,22.428571428571427,0.1120885000564158,24.154589371980677,0.22622905084267209,0.3554701417786532,0.026165227221835192,0.041113009118730094,alpaca,Alpaca
8,alpaca,5000,1.0,4096,0,0.0,0.6319908728966346,0.6319908728966346,104,104,0.9930372971754807,0.9930372971754807,1.9166353665865383,48.07692307692307,48.07692307692307,0.16124770790338516,48.07692307692308,0.32973975327513055,0.5181148769805108,0.01314541015625,0.02065517578125,alpaca,Alpaca
16,alpaca,5000,1.0,4096,0,0.0,0.6319908728966346,0.5868486676897321,104,112,0.9930372971754807,0.9221060616629464,2.1461879185267856,44.71428571428571,44.714285714285715,0.09607533388771117,48.07692307692308,0.27343769043885235,0.4296483330760293,0.013124411098492413,0.02062218029278155,alpaca,Alpaca
32,alpaca,5000,1.0,4096,0,0.0,0.6319908728966346,0.5134925842285156,104,128,0.9930372971754807,0.8068428039550781,2.2697906494140625,39.25,39.25,0.09651700011454523,48.07692307692308,0.22622905084267209,0.3554701417786532,0.013082613610917596,0.020556504559365047,alpaca,Alpaca
