batch_size,case,chips,dataset_mode,dropped_overlength,final_cumulative_loss_tokens,final_cumulative_valid_tokens,final_loss,first_step_time_sec,long_example_policy,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,packed_efficiency,packed_rows,packed_rows_used,prepared_batches,row_reduction_x,run_dir,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,source_examples_fit,status,steps_recorded,suite,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip,model_label,dataset_slug,dataset_label
8,short-throughput_unpacked_b8_l2048_s50,32,opus100,0,4408,13842,2.3656463623046875,44.45648697800016,truncate,16,205.01208021152266,2048,50,1.87372150182724,0.4300393675102432,8,4,Gemma3 1B,google/gemma-3-1b-it,0.02629619140625,5000,5000,625,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/opus100/short-throughput/short-throughput_unpacked_b8_l2048_s50,67.637280768,2.431383552,0.6808827899999415,5000,ok,50,short-throughput,v5litepod-32,643.4152276638482,unpacked,85.70097736599973,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/opus100/short-throughput/short-throughput_unpacked_b8_l2048_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,10.42,Gemma3 1B,opus100,OPUS EN-FR
8,short-throughput_packed_b8_l2048_s50,32,opus100,0,342234,818291,1.177677035331726,44.248753280000074,truncate,16,14897.317891912662,2048,50,1.544027988910675,0.45727584810199506,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9960678562973485,132,128,16,37.878787878787875,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/opus100/short-throughput/short-throughput_packed_b8_l2048_s50,67.637280768,2.573256704,1.17348053600017,5000,ok,50,short-throughput,v5litepod-32,35789.72206411765,packed,86.16261277700005,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/opus100/short-throughput/short-throughput_packed_b8_l2048_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,10.51,Gemma3 1B,opus100,OPUS EN-FR
4,short-throughput_unpacked_b4_l512_s50,32,alpaca,0,9826,16214,1.7920689582824707,39.06609387299977,truncate,16,3057.6544390301674,512,50,1.619278576374054,0.06422156291835897,8,4,Gemma3 1B,google/gemma-3-1b-it,0.16524140625,5000,5000,1250,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b4_l512_s50,67.637280768,1.775362048,0.4123077799999919,5000,ok,50,short-throughput,v5litepod-32,5063.465582156172,unpacked,62.6338946259998,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b4_l512_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.36,Gemma3 1B,alpaca,Alpaca
4,short-throughput_packed_b4_l512_s50,32,alpaca,0,83145,102192,1.5268661975860596,38.6383707709997,truncate,16,27610.36408903548,512,50,1.6143574929237365,0.06010091565305666,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9942322879061372,831,828,207,6.016847172081829,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b4_l512_s50,67.637280768,1.755265024,0.19250602100009928,5000,ok,50,short-throughput,v5litepod-32,34005.39043096714,packed,59.74485149699967,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b4_l512_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.36,Gemma3 1B,alpaca,Alpaca
4,short-throughput_unpacked_b4_l1024_s50,32,alpaca,0,9826,16214,1.7200531959533691,41.80671522900002,truncate,16,1734.4342227292545,1024,50,1.6352294862270356,0.11321694669387787,8,4,Gemma3 1B,google/gemma-3-1b-it,0.082620703125,5000,5000,1250,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b4_l1024_s50,67.637280768,2.118209536,0.4567984689997502,5000,ok,50,short-throughput,v5litepod-32,2872.2173046110934,unpacked,66.79988112699994,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b4_l1024_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.58,Gemma3 1B,alpaca,Alpaca
4,short-throughput_packed_b4_l1024_s50,32,alpaca,0,159591,204523,1.3314955234527588,41.192581827999675,truncate,16,27964.424144818375,1024,50,1.5978328132629394,0.11371445259181906,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9954301581325301,415,412,103,12.048192771084338,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b4_l1024_s50,67.637280768,2.121115648,0.42161385999997947,5000,ok,50,short-throughput,v5litepod-32,35970.69380252475,packed,121.36312856500035,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b4_l1024_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.59,Gemma3 1B,alpaca,Alpaca
4,short-throughput_unpacked_b4_l2048_s50,32,alpaca,0,9826,16214,1.7228939533233643,42.410856090999914,truncate,16,874.5538912259045,2048,50,1.6256836211681367,0.22453430132649446,8,4,Gemma3 1B,google/gemma-3-1b-it,0.0413103515625,5000,5000,1250,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b4_l2048_s50,67.637280768,2.197030912,0.8512556179998683,5000,ok,50,short-throughput,v5litepod-32,1448.2583353558057,unpacked,71.82432146700012,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b4_l2048_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.32,Gemma3 1B,alpaca,Alpaca
4,short-throughput_packed_b4_l2048_s50,32,alpaca,0,265997,409223,1.220903754234314,42.47220594500004,truncate,16,24460.679133371283,2048,50,1.4923875284194947,0.21584662769390314,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9978345788043478,207,204,51,24.154589371980677,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b4_l2048_s50,67.637280768,2.249863168,0.3471071519998077,5000,ok,50,short-throughput,v5litepod-32,37917.41861439648,packed,71.5098706130002,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b4_l2048_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.36,Gemma3 1B,alpaca,Alpaca
8,short-throughput_unpacked_b8_l512_s50,32,alpaca,0,19887,32309,1.910791277885437,41.376382284999636,truncate,16,3475.5053542170754,512,50,1.6963026118278504,0.11313580085714754,8,4,Gemma3 1B,google/gemma-3-1b-it,0.16524140625,5000,5000,625,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b8_l512_s50,67.637280768,2.04711936,0.5307637429996248,5000,ok,50,short-throughput,v5litepod-32,5681.811784249205,unpacked,65.45884174899948,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b8_l512_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.48,Gemma3 1B,alpaca,Alpaca
8,short-throughput_packed_b8_l512_s50,32,alpaca,0,158290,204372,1.3942972421646118,40.852985153999725,truncate,16,27761.8263027208,512,50,1.6057896184921265,0.11365702300006851,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9942322879061372,831,824,103,6.016847172081829,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b8_l512_s50,67.637280768,2.048841728,0.5438837169995168,5000,ok,50,short-throughput,v5litepod-32,35961.396825605625,packed,65.98694340300062,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b8_l512_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.48,Gemma3 1B,alpaca,Alpaca
