model_label,dataset_slug,dataset_label,batch_size,max_length,tpu,chips,mesh,unpacked_density,packed_density,density_uplift_x,unpacked_loss_tokens_per_sec,packed_loss_tokens_per_sec,loss_token_throughput_uplift_x,unpacked_step_time_sec,packed_step_time_sec,step_time_ratio_packed_over_unpacked,unpacked_xla_gib_per_chip,packed_xla_gib_per_chip,xla_gib_delta_per_chip,row_reduction_x
Gemma3 1B,opus100,OPUS EN-FR,4,512,v5litepod-32,32,"fsdp=8,tp=4",0.1050671875,0.9930736058601134,9.45179584120983,707.9321127814165,16491.75850201024,23.295677938969682,0.06307534355102355,0.06259032289795516,0.9923104556271494,1.36,1.36,0.0,9.45179584120983
Gemma3 1B,opus100,OPUS EN-FR,4,1024,v5litepod-32,32,"fsdp=8,tp=4",0.0525923828125,0.9960678562973485,18.93939393939394,401.083529795416,15320.208719053864,38.197052685928966,0.11133107671428531,0.12117514881632889,1.088421601520184,2.58,2.59,0.009999999999999787,18.939393939393938
Gemma3 1B,opus100,OPUS EN-FR,4,2048,v5litepod-32,32,"fsdp=8,tp=4",0.02629619140625,0.9960678562973485,37.87878787878788,202.94062962784614,14862.448004027456,73.23544837365642,0.22003016993873958,0.23906985338776487,1.086532148997232,5.32,5.36,0.040000000000000036,37.878787878787875
Gemma3 1B,opus100,OPUS EN-FR,8,512,v5litepod-32,32,"fsdp=8,tp=4",0.1050671875,0.9930736058601134,9.45179584120983,754.2004289420075,17176.077803727396,22.773890261269145,0.11689633408164178,0.10774715220410441,0.9217325166831368,2.48,2.48,0.0,9.45179584120983
Gemma3 1B,opus100,OPUS EN-FR,8,1024,v5litepod-32,32,"fsdp=8,tp=4",0.0525923828125,0.9960678562973485,18.93939393939394,421.3909005779553,16388.130595572402,38.89056591657626,0.20921967034694586,0.21667249489801366,1.0356220069494846,4.91,4.93,0.019999999999999574,18.939393939393938
Gemma3 1B,opus100,OPUS EN-FR,8,2048,v5litepod-32,32,"fsdp=8,tp=4",0.02629619140625,0.9960678562973485,37.87878787878788,205.01208021152266,14897.317891912662,72.6655613490788,0.4300393675102432,0.45727584810199506,1.0633348540842673,10.42,10.51,0.08999999999999986,37.878787878787875
Gemma3 1B,alpaca,Alpaca,4,512,v5litepod-32,32,"fsdp=8,tp=4",0.16524140625,0.9942322879061372,6.016847172081829,3057.6544390301674,27610.36408903548,9.02991644071885,0.06422156291835897,0.06010091565305666,0.9358370136438343,1.36,1.36,0.0,6.016847172081829
Gemma3 1B,alpaca,Alpaca,4,1024,v5litepod-32,32,"fsdp=8,tp=4",0.082620703125,0.9954301581325301,12.048192771084338,1734.4342227292545,27964.424144818375,16.12308139354768,0.11321694669387787,0.11371445259181906,1.0043942705793538,2.58,2.59,0.009999999999999787,12.048192771084338
Gemma3 1B,alpaca,Alpaca,4,2048,v5litepod-32,32,"fsdp=8,tp=4",0.0413103515625,0.9978345788043478,24.154589371980673,874.5538912259045,24460.679133371283,27.969321706502917,0.22453430132649446,0.21584662769390314,0.9613080336444515,5.32,5.36,0.040000000000000036,24.154589371980677
Gemma3 1B,alpaca,Alpaca,8,512,v5litepod-32,32,"fsdp=8,tp=4",0.16524140625,0.9942322879061372,6.016847172081829,3475.5053542170754,27761.8263027208,7.987853124448628,0.11313580085714754,0.11365702300006851,1.0046070486881433,2.48,2.48,0.0,6.016847172081829
Gemma3 1B,alpaca,Alpaca,8,1024,v5litepod-32,32,"fsdp=8,tp=4",0.082620703125,0.9954301581325301,12.048192771084338,1893.4003317477423,24172.27034417114,12.766592431014537,0.2076708633877221,0.21813323428577117,1.0503795801075657,4.91,4.93,0.019999999999999574,12.048192771084338
Gemma3 1B,alpaca,Alpaca,8,2048,v5litepod-32,32,"fsdp=8,tp=4",0.0413103515625,0.9978345788043478,24.154589371980673,912.8441680050707,24169.346671377276,26.476968926905624,0.43074611791841877,0.4369609724286346,1.0144281149653747,10.42,10.51,0.08999999999999986,24.154589371980677
Gemma3 1B,oasst1,OASST1 EN,4,512,v5litepod-32,32,"fsdp=8,tp=4",0.441801953125,0.999099848767526,2.261420171867933,10350.712419857375,24232.70314940301,2.3411628269097364,0.06466872228568774,0.0710542577143853,1.098742254416101,1.36,1.36,0.0,2.261420171867933
Gemma3 1B,oasst1,OASST1 EN,4,1024,v5litepod-32,32,"fsdp=8,tp=4",0.2339615234375,0.9989817396989752,4.269854824935952,6235.159275233026,30921.130231418003,4.959156433138974,0.10943863930617449,0.11260379904082843,1.0289217752954587,2.58,2.59,0.009999999999999787,4.269854824935952
Gemma3 1B,oasst1,OASST1 EN,4,2048,v5litepod-32,32,"fsdp=8,tp=4",0.1181564453125,0.9996315170262268,8.460236886632826,3134.5627945024626,32042.30966185303,10.22225801890148,0.21769139483679895,0.22251574379593617,1.0221614132370918,5.32,5.36,0.040000000000000036,8.460236886632826
