batch_size,case,chips,dataset_mode,dropped_overlength,failure_type,final_cumulative_loss_tokens,final_cumulative_valid_tokens,final_loss,first_step_time_sec,long_example_policy,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,packed_efficiency,packed_rows,packed_rows_used,prepared_batches,row_reduction_x,run_dir,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,source_examples_fit,status,steps_recorded,suite,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip,dataset_slug,dataset_label
8,short-throughput_unpacked_b8_l512_s50,1,opus100,1,,4408,13842,2.8564226627349854,31.654790679000143,truncate,16,1591.7829534554892,512,50,2.322070372104645,0.055386486653054706,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.1050671875,5000,5000,625,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b8_l512_s50,16.909336064,1.382447104,0.14767483600007836,5000,ok,50,short-throughput,v5litepod-1,4995.692889571648,unpacked,46.02583184800005,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b8_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.85,opus100,OPUS EN-FR
8,short-throughput_packed_b8_l512_s50,1,opus100,1,,92721,204006,1.9897301197052002,31.61319532100015,truncate,16,33936.13338774865,512,50,2.1572982144355772,0.054534010938791004,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9930736058601134,529,528,66,9.45179584120983,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b8_l512_s50,16.909336064,1.384692224,0.10483932400006779,5000,ok,50,short-throughput,v5litepod-1,74816.07052051759,packed,45.23503385799995,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b8_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.85,opus100,OPUS EN-FR
8,short-throughput_unpacked_b8_l1024_s50,1,opus100,0,,4408,13842,2.813293933868408,26.582476196000016,truncate,16,751.9197495489278,1024,50,2.330031177997589,0.11725089726531465,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.0525923828125,5000,5000,625,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b8_l1024_s50,16.909336064,1.148907008,0.16617382200001884,5000,ok,50,short-throughput,v5litepod-1,2359.844436200084,unpacked,43.36108744300009,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b8_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.1,opus100,OPUS EN-FR
8,short-throughput_packed_b8_l1024_s50,1,opus100,0,,178112,408395,1.919242024421692,26.66978729099992,truncate,16,29844.58023517625,1024,50,2.1231301498413084,0.11897829069386383,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9960678562973485,264,264,33,18.939393939393938,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b8_l1024_s50,16.909336064,1.157256192,0.2113443850000749,5000,ok,50,short-throughput,v5litepod-1,68647.23442077597,packed,43.858992357000034,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b8_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.11,opus100,OPUS EN-FR
8,short-throughput_unpacked_b8_l2048_s50,1,opus100,,compile_oom,0,0,,,truncate,16,nan,2048,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,4.59,15.75,20.34,nan,,,,nan,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b8_l2048_s50,,,,,failed,,short-throughput,v5litepod-1,nan,unpacked,,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b8_l2048_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.37,opus100,OPUS EN-FR
8,short-throughput_packed_b8_l2048_s50,1,opus100,,compile_oom,0,0,,,truncate,16,nan,2048,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,4.61,15.75,20.36,nan,,,,nan,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b8_l2048_s50,,,,,failed,,short-throughput,v5litepod-1,nan,packed,,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b8_l2048_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.42,opus100,OPUS EN-FR
16,short-throughput_unpacked_b16_l256_s50,1,opus100,26,,8414,26879,2.3317697048187256,30.99104105100014,truncate,16,3144.309099037625,256,50,2.2638554692268373,0.052930092489796896,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.20823552058293268,5000,4992,312,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b16_l256_s50,16.909336064,1.377853952,0.1027882349999345,5000,ok,50,short-throughput,v5litepod-1,10092.63457711942,unpacked,44.69622866999998,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b16_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.71,opus100,OPUS EN-FR
16,short-throughput_packed_b16_l256_s50,1,opus100,26,,91088,203727,2.098132610321045,30.548809293999966,truncate,16,33992.81222205644,256,50,2.1714430761337282,0.05377127148979674,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9886447946343779,1053,1040,65,4.748338081671415,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b16_l256_s50,16.909336064,1.379155456,0.14818208400015465,5000,ok,50,short-throughput,v5litepod-1,75767.26247935944,packed,44.116437960999974,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b16_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.71,opus100,OPUS EN-FR
16,short-throughput_unpacked_b16_l512_s50,1,opus100,1,,8414,26879,2.2958903312683105,32.077694933999965,truncate,16,1540.8715449856572,512,50,2.2555282402038572,0.10800937428571995,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.10508219401041667,5000,4992,312,1.0,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b16_l512_s50,16.909336064,1.419611136,0.20420754099995975,5000,ok,50,short-throughput,v5litepod-1,4945.904789888972,unpacked,48.76795000199991,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b16_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.57,opus100,OPUS EN-FR
16,short-throughput_packed_b16_l512_s50,1,opus100,1,,177802,407554,1.8786371946334839,31.930352460999984,truncate,16,32687.231364065585,512,50,2.1287608337402344,0.1083659742857101,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9930736058601134,529,528,33,9.45179584120983,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b16_l512_s50,16.909336064,1.42390272,0.2037355509999088,5000,ok,50,short-throughput,v5litepod-1,75212.81710246587,packed,48.59880389999989,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b16_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,12.57,opus100,OPUS EN-FR
16,short-throughput_unpacked_b16_l1024_s50,1,opus100,,compile_oom,0,0,,,truncate,16,nan,1024,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,4.58,15.75,20.33,nan,,,,nan,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b16_l1024_s50,,,,,failed,,short-throughput,v5litepod-1,nan,unpacked,,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b16_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.36,opus100,OPUS EN-FR
16,short-throughput_packed_b16_l1024_s50,1,opus100,,compile_oom,0,0,,,truncate,16,nan,1024,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,4.60,15.75,20.35,nan,,,,nan,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b16_l1024_s50,,,,,failed,,short-throughput,v5litepod-1,nan,packed,,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b16_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.39,opus100,OPUS EN-FR
16,short-throughput_unpacked_b16_l2048_s50,1,opus100,,compile_oom,0,0,,,truncate,16,nan,2048,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,31.43,15.75,47.18,nan,,,,nan,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b16_l2048_s50,,,,,failed,,short-throughput,v5litepod-1,nan,unpacked,,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_unpacked_b16_l2048_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,48.2,opus100,OPUS EN-FR
16,short-throughput_packed_b16_l2048_s50,1,opus100,,compile_oom,0,0,,,truncate,16,nan,2048,50,,nan,1,1,Gemma3 270M,google/gemma-3-270m-it,32.84,15.75,48.59,nan,,,,nan,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b16_l2048_s50,,,,,failed,,short-throughput,v5litepod-1,nan,packed,,/tmp/gemma3-270m-packing-dataset/opus100/short-throughput/short-throughput_packed_b16_l2048_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,49.68,opus100,OPUS EN-FR
4,short-throughput_unpacked_b4_l256_s50,1,alpaca,78,,9668,16056,2.0644235610961914,25.606682256,truncate,16,10548.436097434065,256,50,1.944395821094513,0.018310094061226728,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.3271921875,5000,5000,1250,1.0,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b4_l256_s50,16.909336064,1.27194624,0.10782852899995987,5000,ok,50,short-throughput,v5litepod-1,17583.699056753998,unpacked,42.79406682499996,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b4_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.4,alpaca,Alpaca
4,short-throughput_packed_b4_l256_s50,1,alpaca,78,,40773,50920,1.6524507999420166,25.468572386000005,truncate,16,44771.77807327166,256,50,1.9471821475028992,0.018267703142857167,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9908909373107208,1651,1648,412,3.0284675953967293,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b4_l256_s50,16.909336064,1.272276992,0.11102204100001245,5000,ok,50,short-throughput,v5litepod-1,55742.40539834221,packed,38.01904056400002,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b4_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.4,alpaca,Alpaca
4,short-throughput_unpacked_b4_l512_s50,1,alpaca,0,,9826,16214,2.070557117462158,29.171807101000013,truncate,16,6326.804847280509,512,50,1.9413704371452332,0.0310373643061207,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.16524140625,5000,5000,1250,1.0,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b4_l512_s50,16.909336064,1.332594176,0.12320935700000746,5000,ok,50,short-throughput,v5litepod-1,10477.16778596629,unpacked,41.884349036,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b4_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.87,alpaca,Alpaca
4,short-throughput_packed_b4_l512_s50,1,alpaca,0,,83145,102192,1.8929232358932495,29.20125047500005,truncate,16,53507.706832252275,512,50,1.9428545928001404,0.03101250757143422,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9942322879061372,831,828,207,6.016847172081829,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b4_l512_s50,16.909336064,1.33374464,0.12274116499997945,5000,ok,50,short-throughput,v5litepod-1,65900.9948593557,packed,42.411529739,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b4_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.87,alpaca,Alpaca
4,short-throughput_unpacked_b4_l1024_s50,1,alpaca,0,,9826,16214,2.0988364219665527,31.012541226000053,truncate,16,3292.3209541658316,1024,50,1.9513146555423737,0.059644047367346874,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.082620703125,5000,5000,1250,1.0,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b4_l1024_s50,16.909336064,1.394340352,0.15506793399993057,5000,ok,50,short-throughput,v5litepod-1,5452.072550787608,unpacked,45.53723134300003,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b4_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,7.12,alpaca,Alpaca
4,short-throughput_packed_b4_l1024_s50,1,alpaca,0,,159591,204523,1.6044687032699585,31.610247674999982,truncate,16,53132.83272321877,1024,50,1.9142979717254638,0.059849231081629185,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9954301581325301,415,412,103,12.048192771084338,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b4_l1024_s50,16.909336064,1.403612672,0.15520704100003968,5000,ok,50,short-throughput,v5litepod-1,68344.86728030148,packed,48.92271429300001,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b4_l1024_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,7.13,alpaca,Alpaca
4,short-throughput_unpacked_b4_l2048_s50,1,alpaca,0,,9826,16214,2.0942511558532715,25.87747929200009,truncate,16,1410.0708404540085,2048,50,1.9483434927463532,0.1392606252857126,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.0413103515625,5000,5000,1250,1.0,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b4_l2048_s50,16.909336064,1.184390656,0.23218456199992943,5000,ok,50,short-throughput,v5litepod-1,2335.07262230245,unpacked,44.852853675000006,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b4_l2048_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.18,alpaca,Alpaca
4,short-throughput_packed_b4_l2048_s50,1,alpaca,0,,265997,409223,1.6337950229644775,26.561564666000095,truncate,16,37317.8458674216,2048,50,1.8256758427619935,0.1414807039183907,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9978345788043478,207,204,51,24.154589371980677,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b4_l2048_s50,16.909336064,1.164175872,0.2364485489999879,5000,ok,50,short-throughput,v5litepod-1,57847.79628673905,packed,45.232997609999984,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b4_l2048_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.2,alpaca,Alpaca
8,short-throughput_unpacked_b8_l256_s50,1,alpaca,78,,19575,31997,2.217172145843506,27.466648219000035,truncate,16,10933.396526274477,256,50,2.0105009841918946,0.03538120416324926,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.3271921875,5000,5000,625,1.0,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b8_l256_s50,16.909336064,1.32756992,0.07721226399985426,5000,ok,50,short-throughput,v5litepod-1,17988.335746156466,unpacked,40.30912674000001,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b8_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.8,alpaca,Alpaca
8,short-throughput_packed_b8_l256_s50,1,alpaca,78,,78451,102120,1.942608118057251,27.38788515400006,truncate,16,52272.36775771095,256,50,1.9410645413398742,0.02999789930614887,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9908909373107208,1651,1648,206,3.0284675953967293,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b8_l256_s50,16.909336064,1.328238592,0.12448896199998671,5000,ok,50,short-throughput,v5litepod-1,68080.95771783237,packed,40.34002578800005,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b8_l256_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,3.8,alpaca,Alpaca
8,short-throughput_unpacked_b8_l512_s50,1,alpaca,0,,19887,32309,2.22344970703125,31.40435290099981,truncate,16,6509.846233485807,512,50,2.0192544722557066,0.06040143922448769,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.16524140625,5000,5000,625,1.0,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b8_l512_s50,16.909336064,1.382447104,0.1498129499998413,5000,ok,50,short-throughput,v5litepod-1,10642.40082329039,unpacked,45.81802963799987,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_unpacked_b8_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.85,alpaca,Alpaca
8,short-throughput_packed_b8_l512_s50,1,alpaca,0,,158290,204372,1.7104177474975586,31.72486868100009,truncate,16,58087.77451543594,512,50,1.9218379330635071,0.05431997622449393,1,1,Gemma3 270M,google/gemma-3-270m-it,,nan,nan,0.9942322879061372,831,824,103,6.016847172081829,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b8_l512_s50,16.909336064,1.384692224,0.1036419689999093,5000,ok,50,short-throughput,v5litepod-1,75244.23960037416,packed,45.8233467,/tmp/gemma3-270m-packing-dataset/alpaca/short-throughput/short-throughput_packed_b8_l512_s50/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,6.85,alpaca,Alpaca
