dataset,batch_size,max_length,examples,valid_tokens,unpacked_rows,packed_rows,row_reduction_x,unpacked_fixed_capacity_tokens,unpacked_dynamic_capacity_tokens,packed_capacity_tokens,unpacked_fixed_valid_ratio,unpacked_dynamic_valid_ratio,packed_valid_ratio,packed_valid_ratio_rounded,packed_vs_fixed_density_gain_x,packed_vs_dynamic_density_gain_x,packing_seconds
opus100-en-fr-simple-token-proxy,8,256,20000,993348,20000,3902,5.125576627370579,5120000,2253304,998912,0.19401328125,0.4408406499966272,0.9944299397744746,0.9939204982069673,5.125576627370579,2.2557582649923114,2.9649886249098927
opus100-en-fr-simple-token-proxy,16,256,20000,993348,20000,3902,5.125576627370579,5120000,2742208,998912,0.19401328125,0.36224385604593085,0.9944299397744746,0.9939204982069673,5.125576627370579,2.7451947719118404,2.9196046250872314
opus100-en-fr-simple-token-proxy,32,256,20000,993348,20000,3902,5.125576627370579,5120000,3258016,998912,0.19401328125,0.3048935302957383,0.9944299397744746,0.9939204982069673,5.125576627370579,3.2615645822655046,2.8979665408842266
opus100-en-fr-simple-token-proxy,64,256,20000,993348,20000,3902,5.125576627370579,5128192,3804864,998912,0.19370335588059107,0.2610731947317959,0.9944299397744746,0.9939204982069673,5.133777549974371,3.809008200922604,2.9049657499417663
opus100-en-fr-simple-token-proxy,8,512,20000,999427,20000,1959,10.209290454313425,10240000,2301304,1003008,0.09760029296875,0.43428725626861986,0.9964297393440531,0.9959213568239796,10.209290454313425,2.2944024374680962,1.6934464590158314
opus100-en-fr-simple-token-proxy,16,512,20000,999427,20000,1959,10.209290454313425,10240000,2837120,1003008,0.09760029296875,0.35226814516129035,0.9964297393440531,0.9918728960238821,10.209290454313425,2.8286115364982134,1.596215542173013
opus100-en-fr-simple-token-proxy,32,512,20000,999427,20000,1959,10.209290454313425,10240000,3446528,1003008,0.09760029296875,0.28998081547574833,0.9964297393440531,0.9838739210559476,10.209290454313425,3.4361919346605414,1.6214570838492364
opus100-en-fr-simple-token-proxy,64,512,20000,999427,20000,1959,10.209290454313425,10256384,4166592,1003008,0.09744438195761781,0.23986677841266915,0.9964297393440531,0.9838739210559476,10.225625319040326,4.154096477794793,1.6088090841658413
opus100-en-fr-simple-token-proxy,8,1024,20000,1000939,20000,980,20.408163265306122,20480000,2313400,1003520,0.048873974609375,0.4326700959626524,0.997428053252551,0.9933734676702236,20.408163265306122,2.305285395408163,0.919452500063926
opus100-en-fr-simple-token-proxy,16,1024,20000,1000939,20000,980,20.408163265306122,20480000,2861312,1003520,0.048873974609375,0.34981819528943364,0.997428053252551,0.9853623913180444,20.408163265306122,2.851275510204082,0.8589777920860797
opus100-en-fr-simple-token-proxy,32,1024,20000,1000939,20000,980,20.408163265306122,20480000,3494912,1003520,0.048873974609375,0.2863989136207149,0.997428053252551,0.9853623913180444,20.408163265306122,3.48265306122449,0.8675212911330163
opus100-en-fr-simple-token-proxy,64,1024,20000,1000939,20000,980,20.408163265306122,20512768,4263360,1003520,0.04879590116750699,0.23477703032350072,0.997428053252551,0.9545698165893555,20.440816326530612,4.248405612244897,0.8690217910334468
opus100-en-fr-simple-token-proxy,8,2048,20000,1001551,20000,490,40.816326530612244,40960000,2318296,1003520,0.0244519287109375,0.4320203287242009,0.9980379065688776,0.9859648673765121,40.816326530612244,2.3101642219387757,0.5015180420596153
opus100-en-fr-simple-token-proxy,16,2048,20000,1001551,20000,490,40.816326530612244,40960000,2871104,1003520,0.0244519287109375,0.34883828659637545,0.9980379065688776,0.9859648673765121,40.816326530612244,2.8610331632653065,0.5543862089980394
opus100-en-fr-simple-token-proxy,32,2048,20000,1001551,20000,490,40.816326530612244,40960000,3514496,1003520,0.0244519287109375,0.2849771347015333,0.9980379065688776,0.9551534652709961,40.816326530612244,3.502168367346939,0.4996961660217494
opus100-en-fr-simple-token-proxy,64,2048,20000,1001551,20000,490,40.816326530612244,41025536,4302528,1003520,0.02441286812194239,0.23278198305740253,0.9980379065688776,0.9551534652709961,40.881632653061224,4.287436224489796,0.5040791667997837
