dataset,model_id,batch_size,max_length,examples,valid_tokens,trainable_loss_tokens,unpacked_rows,packed_rows,row_reduction_x,unpacked_fixed_capacity_tokens,unpacked_dynamic_capacity_tokens,unpacked_fixed_valid_ratio,unpacked_dynamic_valid_ratio,packed_valid_ratio,packed_valid_ratio_rounded,packed_vs_fixed_density_gain_x,packed_vs_dynamic_density_gain_x,packing_seconds
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,8,256,20000,1275362,490817,20000,5052,3.9588281868566906,5120000,2717296,0.249094140625,0.46934967703187286,0.9861209050870943,0.9853407461431962,3.958828186856691,2.101036718131433,3.767492625163868
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,16,256,20000,1275362,490817,20000,5052,3.9588281868566906,5120000,3256320,0.249094140625,0.3916574538128931,0.9861209050870943,0.9853407461431962,3.958828186856691,2.517814726840855,3.6781193329952657
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,32,256,20000,1275362,490817,20000,5052,3.9588281868566906,5120000,3806528,0.249094140625,0.33504600517847233,0.9861209050870943,0.9853407461431962,3.958828186856691,2.9432403008709427,3.6724106250330806
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,64,256,20000,1275362,490817,20000,5052,3.9588281868566906,5128192,4309056,0.24869622666234026,0.2959724821399397,0.9861209050870943,0.9853407461431962,3.965162311955661,3.3317992874109263,3.7658009158913046
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,8,512,20000,1287179,501425,20000,2535,7.889546351084813,10240000,2810760,0.12570107421875,0.4579469609642944,0.9917244514299802,0.9913333928923501,7.889546351084813,2.165588017751479,2.0724657089449465
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,16,512,20000,1287179,501425,20000,2535,7.889546351084813,10240000,3437792,0.12570107421875,0.3744202674274651,0.9917244514299802,0.9882159922857704,7.889546351084813,2.6486932938856014,2.1600820829626173
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,32,512,20000,1287179,501425,20000,2535,7.889546351084813,10240000,4156512,0.12570107421875,0.3096776816715554,0.9917244514299802,0.9820396423339843,7.889546351084813,3.2024408284023664,2.100158292101696
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,64,512,20000,1287179,501425,20000,2535,7.889546351084813,10256384,4971712,0.1255002737807009,0.25890055578440585,0.9917244514299802,0.9820396423339843,7.902169625246548,3.830522682445759,2.08459037495777
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,8,1024,20000,1289727,503066,20000,1264,15.822784810126583,20480000,2831144,0.062974951171875,0.4555497706934017,0.996439100820807,0.996439100820807,15.822784810126583,2.1873331190664556,1.2072157920338213
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,16,1024,20000,1289727,503066,20000,1264,15.822784810126583,20480000,3478560,0.062974951171875,0.3707646267421002,0.996439100820807,0.996439100820807,15.822784810126583,2.6875247231012658,1.1266501671634614
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,32,1024,20000,1289727,503066,20000,1264,15.822784810126583,20480000,4238048,0.062974951171875,0.3043209987239408,0.996439100820807,0.9839836120605469,15.822784810126583,3.274302808544304,1.1279162080027163
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,64,1024,20000,1289727,503066,20000,1264,15.822784810126583,20512768,5134784,0.06287435220834166,0.25117453820842317,0.996439100820807,0.9839836120605469,15.848101265822784,3.967118275316456,1.121628750115633
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,8,2048,20000,1291117,504456,20000,632,31.645569620253166,40960000,2842264,0.0315214111328125,0.4542565363386371,0.9975130105320411,0.9975130105320411,31.64556962025316,2.195924396756329,0.7463285408448428
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,16,2048,20000,1291117,504456,20000,632,31.645569620253166,40960000,3500800,0.0315214111328125,0.3688062728519196,0.9975130105320411,0.9850440979003906,31.64556962025316,2.7047072784810124,0.6588653330691159
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,32,2048,20000,1291117,504456,20000,632,31.645569620253166,40960000,4282528,0.0315214111328125,0.3014847772157006,0.9975130105320411,0.9850440979003906,31.64556962025316,3.3086679193037978,0.6449916251003742
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,64,2048,20000,1291117,504456,20000,632,31.645569620253166,41025536,5223744,0.03147105744090705,0.24716314582031584,0.9975130105320411,0.9850440979003906,31.696202531645568,4.035848496835443,0.6524509589653462
