dataset,batch_size,max_length,examples,valid_tokens,unpacked_rows,packed_rows,row_reduction_x,unpacked_fixed_capacity_tokens,unpacked_dynamic_capacity_tokens,packed_capacity_tokens,unpacked_fixed_valid_ratio,unpacked_dynamic_valid_ratio,packed_valid_ratio,packed_valid_ratio_rounded,packed_vs_fixed_density_gain_x,packed_vs_dynamic_density_gain_x,packing_seconds
opus100-en-fr-simple-token-proxy,8,256,5000,224860,5000,884,5.656108597285068,1280000,516568,226304,0.175671875,0.43529603072586764,0.9936192024886877,0.9891434403153153,5.656108597285067,2.2826286764705883,0.18972779205068946
opus100-en-fr-simple-token-proxy,16,256,5000,224860,5000,884,5.656108597285068,1282048,634000,226304,0.17539124900159744,0.35466876971608835,0.9936192024886877,0.9803118024553571,5.665158371040723,2.80154128959276,0.19511212478391826
opus100-en-fr-simple-token-proxy,32,256,5000,224860,5000,884,5.656108597285068,1286144,769232,226304,0.17483267814490447,0.29231753229194835,0.9936192024886877,0.9803118024553571,5.6832579185520355,3.399109162895927,0.19207391701638699
opus100-en-fr-simple-token-proxy,64,256,5000,224860,5000,884,5.656108597285068,1294336,907536,226304,0.17372614220727847,0.24776978544101833,0.9936192024886877,0.9803118024553571,5.719457013574661,4.0102516968325785,0.18873562500812113
opus100-en-fr-simple-token-proxy,8,512,5000,226248,5000,444,11.26126126126126,2560000,527544,227328,0.088378125,0.42887038806241756,0.9952491554054054,0.9863630022321429,11.26126126126126,2.320629222972973,0.15875233407132328
opus100-en-fr-simple-token-proxy,16,512,5000,226248,5000,444,11.26126126126126,2564096,654912,227328,0.08823694588658147,0.34546320727059515,0.9952491554054054,0.9863630022321429,11.279279279279278,2.880912162162162,0.11347954208031297
opus100-en-fr-simple-token-proxy,32,512,5000,226248,5000,444,11.26126126126126,2572288,811056,227328,0.08795593650477707,0.27895484405515775,0.9952491554054054,0.9863630022321429,11.315315315315315,3.567778716216216,0.11327983299270272
opus100-en-fr-simple-token-proxy,64,512,5000,226248,5000,444,11.26126126126126,2588672,991184,227328,0.08739925336234178,0.22826034318552357,0.9952491554054054,0.9863630022321429,11.387387387387387,4.360149211711712,0.11451154202222824
opus100-en-fr-simple-token-proxy,8,1024,5000,226505,5000,222,22.52252252252252,5120000,529600,227328,0.0442392578125,0.42769070996978853,0.9963796804617117,0.9874834333147321,22.52252252252252,2.329673423423423,0.07631249981932342
opus100-en-fr-simple-token-proxy,16,1024,5000,226505,5000,222,22.52252252252252,5128192,659024,227328,0.04416858807158546,0.3436976498579718,0.9963796804617117,0.9874834333147321,22.55855855855856,2.899000563063063,0.07577541703358293
opus100-en-fr-simple-token-proxy,32,1024,5000,226505,5000,222,22.52252252252252,5144576,819280,227328,0.044027923778363856,0.27646836246460305,0.9963796804617117,0.9874834333147321,22.630630630630627,3.6039555180180183,0.12005600007250905
opus100-en-fr-simple-token-proxy,64,1024,5000,226505,5000,222,22.52252252252252,5177344,1007632,227328,0.043749266032931174,0.22478940724391444,0.9963796804617117,0.8640480041503906,22.774774774774773,4.432502815315315,0.07625250006094575
opus100-en-fr-simple-token-proxy,8,2048,5000,226505,5000,111,45.04504504504504,10240000,529600,227328,0.02211962890625,0.42769070996978853,0.9963796804617117,0.9874834333147321,45.04504504504504,2.329673423423423,0.058892417000606656
opus100-en-fr-simple-token-proxy,16,2048,5000,226505,5000,111,45.04504504504504,10256384,659024,227328,0.02208429403579273,0.3436976498579718,0.9963796804617117,0.9874834333147321,45.11711711711712,2.899000563063063,0.05908587481826544
opus100-en-fr-simple-token-proxy,32,2048,5000,226505,5000,111,45.04504504504504,10289152,819280,227328,0.022013961889181928,0.27646836246460305,0.9963796804617117,0.8640480041503906,45.261261261261254,3.6039555180180183,0.05867562489584088
opus100-en-fr-simple-token-proxy,64,2048,5000,226505,5000,111,45.04504504504504,10354688,1007632,227328,0.021874633016465587,0.22478940724391444,0.9963796804617117,0.8640480041503906,45.549549549549546,4.432502815315315,0.05922412499785423
