activation_policy_installed,batch_size,case,cce_installed,chips,dataset_mode,default_ce,failure_type,final_loss,first_step_time_sec,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,run_dir,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,splash_attention_installed,status,steps_recorded,suite,tiled_mlp_installed,token_chunk,tpu,valid_tokens_per_sec_excl_first,variant,vocab_chunk,wall_time_sec,xla_report,xla_train_step_gib_per_chip,source_csv,mesh,variant_label,ok
False,32,mesh_fsdp2_tp2_cce_r16_b32_l1024_tc128_vc8192,True,4,synthetic,False,,1.7296665906906128,35.83537279099983,16,27.038706373584,1024,3,2.688037276268006,61.54140575400004,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b32_l1024_tc128_vc8192,65.088024576,67.637338112,2.549313536,61.59087097499992,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,57.71723860515046,cce,8192,234.294117765,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b32_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,9.54,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,True
,32,mesh_fsdp2_tp2_cce_r16_b32_l2048_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,2048,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,4.26,15.75,20.01,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b32_l2048_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,cce,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b32_l2048_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,20.28,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,False
,64,mesh_fsdp2_tp2_default_r16_b64_l512_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,512,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,6.28,15.75,22.03,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b64_l512_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b64_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,22.3,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,False
,64,mesh_fsdp2_tp2_default_r16_b64_l1024_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,1024,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,32.16,15.75,47.9,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b64_l1024_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b64_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,48.17,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,False
,64,mesh_fsdp2_tp2_default_r16_b64_l2048_tc128_vc8192,,4,synthetic,,resource_exhausted,,,16,,2048,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b64_l2048_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_default_r16_b64_l2048_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,93.55,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,Default CE,False
False,64,mesh_fsdp2_tp2_cce_r16_b64_l512_tc128_vc8192,True,4,synthetic,False,,1.6130321025848389,36.85405177999996,16,54.847165599244455,512,3,2.6567183335622153,61.51639675699994,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b64_l512_tc128_vc8192,65.084706816,67.637338112,2.552631296,61.56372028099986,False,ok,3.0,mesh_fsdp2_tp2,False,128,v5litepod-4,116.9769423983886,cce,8192,234.7705022839998,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b64_l512_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,8.87,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,True
,64,mesh_fsdp2_tp2_cce_r16_b64_l1024_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,1024,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b64_l1024_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,cce,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b64_l1024_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.79,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,False
,64,mesh_fsdp2_tp2_cce_r16_b64_l2048_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,2048,3,,,2,2,Gemma3 270M,google/gemma-3-270m-it,16.88,15.75,32.63,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b64_l2048_tc128_vc8192,,,,,,failed,,mesh_fsdp2_tp2,,128,v5litepod-4,,cce,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_cce_r16_b64_l2048_tc128_vc8192/xla/module_0677.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,32.9,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-2x2/gemma3-270m-cce-mesh/mesh_fsdp2_tp2/mesh_fsdp2_tp2_results.csv,fsdp2/tp2,CCE,False
False,16,mesh_fsdp4_tp1_default_r16_b16_l512_tc128_vc8192,False,4,synthetic,True,,1.790918469429016,29.009159357999977,16,3492.544068019577,512,3,2.7440975109736123,0.2382217615000001,4,1,Gemma3 270M,google/gemma-3-270m-it,,,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp4_tp1/mesh_fsdp4_tp1_default_r16_b16_l512_tc128_vc8192,65.464020992,67.637338112,2.17331712,0.2736733049999884,False,ok,3.0,mesh_fsdp4_tp1,False,128,v5litepod-4,7455.238299041788,default,8192,48.128675975999954,/tmp/gemma3-270m-cce-mesh/mesh_fsdp4_tp1/mesh_fsdp4_tp1_default_r16_b16_l512_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,11.29,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-fsdp4/gemma3-270m-cce-mesh/mesh_fsdp4_tp1/mesh_fsdp4_tp1_results.csv,fsdp4/tp1,Default CE,True
,16,mesh_fsdp4_tp1_default_r16_b16_l1024_tc128_vc8192,,4,synthetic,,compile_oom,,,16,,1024,3,,,4,1,Gemma3 270M,google/gemma-3-270m-it,5.04,15.75,20.79,/tmp/gemma3-270m-cce-mesh/mesh_fsdp4_tp1/mesh_fsdp4_tp1_default_r16_b16_l1024_tc128_vc8192,,,,,,failed,,mesh_fsdp4_tp1,,128,v5litepod-4,,default,8192,,/tmp/gemma3-270m-cce-mesh/mesh_fsdp4_tp1/mesh_fsdp4_tp1_default_r16_b16_l1024_tc128_vc8192/xla/module_0657.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,21.06,data/gemma3_270m_mesh_cce/raw/gemma3-270m-cce-mesh-mesh-fsdp4/gemma3-270m-cce-mesh/mesh_fsdp4_tp1/mesh_fsdp4_tp1_results.csv,fsdp4/tp1,Default CE,False
