model_key,variant_name,status,model_id,batch_size,max_length,max_steps_requested,steps_recorded,learning_rate,lora_rank,lora_alpha,lora_fa_installed,final_loss,mean_loss,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,loss_tokens_per_sec_excl_first,wall_time_sec,lora_a_tensors,lora_b_tensors,lora_a_params,lora_b_params,lora_a_bytes,lora_b_bytes,lorafa_a_value_delta_max,lorafa_b_value_delta_max,lorafa_a_changed_tensors,lorafa_b_changed_tensors,train_peak_aggregate_gib,train_in_use_aggregate_gib,train_limit_aggregate_gib,train_peak_max_chip_gib,train_limit_min_chip_gib,device_count,bleu,chrf,quality_num_examples,returncode
gemma3-12b,lorafa_r64,ok,google/gemma-3-12b-it,1,512,2,2,0.0002,64,32.0,True,1.5799779891967773,2.0672857761383057,0.240736871000081,257.542601357393,103.84782312798103,133.79837755399967,288,288,106954752,143130624,213909504,286261248,0.0,0.000400543212890625,0,288,53.68423843383789,51.772786140441895,125.98434448242188,6.718220233917236,15.748043060302734,8,,,,
gemma3-27b,lorafa_r64,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
